parcel_name,sws_rw,sws_rs,sws_gb,sws_ms,sws_fa,sws_total
gmd_17Networks_17,0.058292152855599,0.969395551024792,0.95121516703748,0.134537329967487,0.592581903029617,0.716641112481037
gmd_17Networks_16,0.679317162768075,0.483758824642037,0.11176207843977,0.883646108446504,0.162790348284905,0.320792947450863
gmd_17Networks_15,0.141486772985433,0.339163194026136,0.806343340760685,0.989473701642168,0.335279683610596,0.440125135770733
gmd_17Networks_14,0.484296504660534,0.942730700915837,0.577221660320014,0.91028713826069,0.806570473751534,0.865470409616968
gmd_17Networks_13,0.272733085839182,0.340721736960988,0.23651092387286,0.259498611826764,0.247222668489227,0.562963824329431
gmd_17Networks_12,0.052419068282899,0.66547077509988,0.368053074530676,0.392203527566782,0.202704673634551,0.768981514162404
gmd_17Networks_11,0.420637455949179,0.992951303742346,0.344586708821655,0.988290824211856,0.961492122580345,0.826300226214386
gmd_17Networks_10,0.506694680614736,0.753765748029289,0.265108551905564,0.802670972457483,0.939013733285349,0.598351806878446
gmd_17Networks_9,0.261993288264263,0.34777194985051,0.655707063701381,0.808020895997243,0.754313688797429,0.447395136963249
gmd_17Networks_8,0.864342527374081,0.526536839942525,0.015904644802252,0.695398159068937,0.082631377681163,0.277858636988553
gmd_17Networks_7,0.663146255535909,0.619108614878386,0.056339925258891,0.861205946372738,0.148189849472224,0.38916989321943
gmd_17Networks_6,0.463598069442948,0.890418689111723,0.309566268477516,0.694628325971236,0.213312820149777,0.689660265403055
gmd_17Networks_5,0.080616995312835,0.833641248135221,0.53152758751792,0.340911581169724,0.475352572625935,0.827830484428887
gmd_17Networks_4,0.308377787950872,0.375885126261499,0.229794859783079,0.969937120162205,0.368473364060747,0.387947627150315
gmd_17Networks_3,0.38548028248811,0.350893257008939,0.097463263225885,0.90214762337482,0.218795145106157,0.243671938985787
gmd_17Networks_2,0.999126214007843,0.931273026779883,0.664129712821471,0.882686336776466,0.698627966829926,0.959026000067861
gmd_17Networks_1,0.041267451803726,0.97480207896466,0.753142482590051,0.615053083902021,0.300439840261115,0.883961648063103
zReHo_17Networks_17,0.786867309815099,0.854422275916376,0.320992799400464,0.656393555412435,0.451533986018962,0.987670947035281
zReHo_17Networks_16,0.11278640268764,0.714911359824512,0.054690719765147,0.966288867234587,0.777521938946775,0.59137249188857
zReHo_17Networks_15,0.375996102137963,0.295503550324788,0.006877703547539,0.988574357130706,0.980309202022179,0.277174911141663
zReHo_17Networks_14,0.385575060628627,0.515705153185669,0.118345815796485,0.871596432543966,0.670320613991606,0.589983488244804
zReHo_17Networks_13,0.822057286167011,0.718253804421319,0.130813615374344,0.733558672964212,0.716872682389019,0.720432991947725
zReHo_17Networks_12,0.785265810375948,0.84448115827472,0.197535309336456,0.549095293490815,0.80590363818179,0.917840623004243
zReHo_17Networks_11,0.217306938697853,0.317103846034209,0.028392598714864,0.891022029941742,0.699436369016593,0.311986362771939
zReHo_17Networks_10,0.388099249473334,0.462790299044718,0.031367961132911,0.954533499374378,0.604091935846079,0.358073112227092
zReHo_17Networks_9,0.108150263665094,0.404675201708833,0.052271803439511,0.504571828383813,0.513450529532129,0.242514059350198
zReHo_17Networks_8,0.761830275842563,0.554738845007352,0.050708363539585,0.514960430801765,0.864745419622773,0.560196244470429
zReHo_17Networks_7,0.472920797014734,0.488299140038707,0.037800651946365,0.615133745843624,0.208607877782221,0.352100718092094
zReHo_17Networks_6,0.372984984842451,0.672913402858587,0.078674070609673,0.652644889896655,0.334251203851162,0.543382647019829
zReHo_17Networks_5,0.105290852491753,0.316732517019755,0.012058680780503,0.573334054600686,0.115426644577303,0.117646455405738
zReHo_17Networks_4,0.200271042446971,0.258243186678934,0.039104914135082,0.261310630253475,0.183292236504213,0.088475555339251
zReHo_17Networks_3,0.123499012091682,0.615743037715082,0.085328268809066,0.69575321351279,0.377003667083648,0.34983902500318
zReHo_17Networks_2,0.261428970914644,0.223719876389839,0.045117617356241,0.551527497496433,0.176989401148149,0.113489265970695
zReHo_17Networks_1,0.512054198437514,0.822668527831659,0.138689254047524,0.873816663861734,0.353642619574344,0.556458143428452
fALFF_17Networks_17,0.279823277379216,0.233906988587175,0.352253447060261,0.440188641631352,0.618493349339157,0.471142284770773
fALFF_17Networks_16,0.569386834939281,0.719823116000727,0.116467574627852,0.284630684184316,0.664023899954932,0.755138645372664
fALFF_17Networks_15,0.809735250518626,0.752974835372083,0.099230528382158,0.922579215010471,0.375902107243995,0.439418321248283
fALFF_17Networks_14,0.758178495324491,0.259382638800842,0.111523452320803,0.708294936775324,0.397561200385567,0.311358933548229
fALFF_17Networks_13,0.474180348780042,0.299633710569722,0.339026713681134,0.490650998953098,0.408023756994878,0.428135380721721
fALFF_17Networks_12,0.703770003698005,0.169291089810123,0.124519313213825,0.458583423818528,0.226411641771419,0.26331495820513
fALFF_17Networks_11,0.797470680346418,0.520358454648971,0.015113230114191,0.861051015153125,0.232745942666318,0.227532970445777
fALFF_17Networks_10,0.659427074342425,0.175041188989175,0.025210399875359,0.905125254339545,0.055327853444699,0.105471759092441
fALFF_17Networks_9,0.339014307026203,0.690996441936924,0.006848897029183,0.323637673928942,0.331442805028368,0.196521444954981
fALFF_17Networks_8,0.569681543274523,0.497493777231697,0.132795257615013,0.802030132292903,0.318699826042439,0.381350226364086
fALFF_17Networks_7,0.924409727595557,0.139113082704568,0.035507818606877,0.634712978837948,0.068030885660366,0.073766651128183
fALFF_17Networks_6,0.707852490806836,0.168530620141469,0.037342578679843,0.848357146755412,0.114556668919323,0.147966154057684
