parcel_name,sws_rw,sws_rs,sws_gb,sws_ms,sws_fa,sws_total
gmd_17Networks_8,NA,NA,0.033872830707665,NA,NA,NA
gmd_17Networks_1,0.048931472825657,NA,NA,NA,NA,NA
zReHo_17Networks_15,NA,NA,0.033872830707665,NA,NA,NA
zReHo_17Networks_11,NA,NA,0.041823948177214,NA,NA,NA
zReHo_17Networks_10,NA,NA,0.041823948177214,NA,NA,NA
zReHo_17Networks_7,NA,NA,0.042275582848737,NA,NA,NA
zReHo_17Networks_5,NA,NA,0.033872830707665,NA,NA,NA
zReHo_17Networks_4,NA,NA,0.042275582848737,NA,NA,NA
zReHo_17Networks_2,NA,NA,0.047492228796043,NA,NA,NA
fALFF_17Networks_11,NA,NA,0.033872830707665,NA,NA,NA
fALFF_17Networks_10,NA,NA,0.041533923018143,NA,NA,NA
fALFF_17Networks_9,NA,NA,0.033872830707665,NA,NA,NA
fALFF_17Networks_7,NA,NA,0.042275582848737,NA,NA,NA
fALFF_17Networks_6,NA,NA,0.042275582848737,NA,NA,NA
fALFF_17Networks_5,NA,NA,0.033872830707665,NA,NA,NA
fALFF_17Networks_4,NA,NA,0.033872830707665,0.047032763692701,NA,0.032267921506867
fALFF_17Networks_3,NA,NA,0.033872830707665,NA,NA,0.048553968933562
fALFF_17Networks_2,NA,NA,0.033872830707665,NA,NA,0.048553968933562
gmd_17Networks_RH_DefaultA_PFCm_1,0.044545391822836,NA,NA,NA,NA,NA
gmd_17Networks_RH_DefaultA_IPL_1,NA,0.045769375759207,0.048175484182696,NA,NA,NA
gmd_17Networks_RH_ContB_PFClv_1,0.048931472825657,NA,NA,NA,NA,NA
gmd_17Networks_RH_SalVentAttnB_PFCmp_1,NA,NA,NA,NA,0.044951770148589,NA
gmd_17Networks_RH_SalVentAttnB_PFCl_1,0.044545391822836,NA,NA,NA,NA,NA
gmd_17Networks_RH_VisCent_ExStr_1,0.046825226393808,NA,NA,NA,NA,NA
gmd_17Networks_LH_DefaultB_Temp_2,0.046825226393808,NA,NA,NA,NA,NA
gmd_17Networks_LH_DefaultA_PFCm_1,0.044545391822836,NA,NA,NA,NA,NA
gmd_17Networks_LH_LimbicB_OFC_1,0.047224641082497,NA,NA,NA,NA,NA
gmd_17Networks_LH_DorsAttnA_SPL_1,0.046825226393808,NA,NA,NA,NA,NA
gmd_17Networks_LH_VisCent_ExStr_1,0.046825226393808,NA,NA,NA,NA,NA
zDCwei_17Networks_RH_TempPar_2,NA,NA,NA,0.047032763692701,0.044951770148589,0.039597983485946
