,parcel_name,zALFF_sws_total_bonferroni,zfALFF_sws_total_bonferroni,sws_total
17Networks_RH_ContA_PFCl_1,zfALFF_17Networks_RH_ContA_PFCl_1,,0.033916987465799,0.033916987465799
17Networks_RH_SalVentAttnB_PFCmp_1,zfALFF_17Networks_RH_SalVentAttnB_PFCmp_1,,0.049984720790602,0.049984720790602
17Networks_RH_DorsAttnB_PostC_1,zfALFF_17Networks_RH_DorsAttnB_PostC_1,,0.005543225451514,0.005543225451514
17Networks_RH_SomMotA_1,zfALFF_17Networks_RH_SomMotA_1,,0.022228317465504,0.022228317465504
17Networks_LH_SalVentAttnA_Ins_1,zfALFF_17Networks_LH_SalVentAttnA_Ins_1,,0.000764636656442,0.000764636656442
17Networks_RH_TempPar_2,zALFF_17Networks_RH_TempPar_2,0.045894981883225,,0.045894981883225
rHipp_L,zfALFF_rHipp_L,,0.01192273869186,0.01192273869186
mAmyg_L,zfALFF_mAmyg_L,,0.014178475216973,0.014178475216973
