bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-0015_ses-wave1_T1w	0.3505515965561023	3.61862003587821	0.6438107142811977	372.7566833496094	3.804095010574757	3.9329667708547054	3.861448347826087	3.6178699130434784	0.14662646226228335	0.47740697867124837	0.37596655906646825	1.5036139488220215	0.6470968067646024	0.0	0.03337110536875538	22.033210159502314	8.01603554309381	11.075109602708267	176	232	256	3.1689843343296134	14.745451933191593	11.922159615437598	17.852042578791583	19.567478885772058	34.08327462741977	33.52004328655566	46.909376346475156	0.8999999761581421	0.8984375	0.8984375	6.464910808418956	13.966211985812349	20.06062889099121	18.8983097076416	2349635.0	9.395065021514892	38.006246948242186	11.982527732849121	5.260755650742325	134.15113611122348	430.26605224609375	417.13995361328125	19602.0	250.37907333374022	640.3278228759765	131.6287078857422	0.8165823754937427	45.4903877843198	726.453369140625	726.5880126953125	71816.0	645.6828765869141	806.4834289550781	49.275054931640625	0.8406396610315774	50.35992708383962	995.9215698242188	1000.01513671875	301846.0	894.1495819091797	1079.77978515625	56.016754150390625	0.14844119548797607	0.4581182301044464	0.48697569966316223	0.6084141270060506
sub-0015_ses-wave2_T1w	0.30382736672030847	4.125027771938157	0.647728541239241	472.6702575683594	3.6799298178971473	3.81392232325666	3.7499547826086954	3.4759123478260867	0.14471503967271884	0.4773413379490669	0.3779436223782142	1.5262726545333862	0.6031592607498169	0.0	0.04519455928079704	22.321077824455177	8.00748721409402	11.035209079933002	176	232	256	2.9933734986749174	14.598005241230178	13.051167643578824	21.56212419083138	21.374310530125893	38.390711995588234	37.73995872783915	53.45485365780333	0.8999999761581421	0.8984375	0.8984375	0.6829620698869783	12.25591638746448	17.135215759277344	16.57535171508789	2055968.0	0.0	33.28955955505371	9.79726791381836	6.44705910663315	138.94473095811387	420.1233215332031	399.8583679199219	18369.0	243.86297912597655	632.8362060546872	133.57754516601562	1.1865479868992024	43.40000371763348	718.1041870117188	718.1914672851562	64446.0	638.0384826660156	797.0900421142578	49.19753646850586	0.926114457796364	42.22199372736823	997.6025390625	1000.0028076171875	305078.0	916.8265106201172	1068.4280212402343	46.3776741027832	0.15280809998512268	0.45686110854148865	0.4899420738220215	0.6356288919970994
sub-0015_ses-wave3_T1w	0.31730772767001	4.126957734732644	0.5373208837062771	2532.179931640625	4.129592828316	4.204022333590781	4.018733978978374	4.166022172378845	0.17205000298071338	0.4750058969809181	0.3529441000383685	1.2509942054748535	0.3520682990550992	0.0	0.02171645285343088	24.332241526870042	10.515778197267007	15.976566127081066	176	288	288	2.972257906576822	13.17183309501843	11.837326652923037	19.367888957173857	31.96039417237372	62.58396121541207	61.57888295964017	90.19229349113472	0.8999999761581421	0.8819444179534912	0.8819444179534912	40.59841322016915	7.2638602426853565	7.503297328948975	4.903048038482666	3907517.0	0.0	19.718719100952146	7.778011798858643	-0.5967058474764189	147.21092379453242	361.6672058105469	354.36260986328125	18350.0	184.74241027832034	545.4368621826172	119.22012329101562	0.10010848013490437	51.53743937438553	695.1165771484375	693.903076171875	79346.0	609.9529418945312	784.0277862548828	52.68049621582031	1.062106394142094	45.59327588993753	995.7459106445312	1000.011962890625	315498.0	901.9954315185547	1071.9950317382813	51.632389068603516	0.15822714567184448	0.46396341919898987	0.4968648850917816	0.3485306304006131
sub-0071_ses-wave1_T1w	0.368763132528261	3.529734512910907	0.6232456213493943	531.13720703125	3.832442167031888	3.9621223271826196	3.8603241739130434	3.67488	0.1569345127794217	0.4683422646354308	0.3747232225851475	1.530703067779541	0.6732400059700012	0.0	0.035184153740612276	20.140726004060582	7.7903622837167505	10.686133394832613	176	232	256	2.140537495736556	12.52300557042275	11.23656655961482	19.046156612685152	24.031395083021753	40.837858156104836	40.48238489049015	56.577901432343864	0.8999999761581421	0.8984375	0.8984375	3.8832873889133133	11.579647098926577	17.469257354736328	15.632227897644043	2726927.0	0.0	39.10713348388671	11.545927047729492	40.99803553795484	131.4179276115715	442.2114562988281	424.7590026855469	30615.0	243.59943389892578	630.306591796875	198.43243408203125	1.0105205738418377	53.33304947093134	723.869140625	721.8161010742188	70550.0	633.2961944580078	819.6362854003906	57.638797760009766	0.5549483658501595	49.259784476937654	998.345947265625	1000.0240478515625	316761.0	909.0796508789062	1081.093994140625	52.505210876464844	0.1386144757270813	0.4582735300064087	0.47775381803512573	0.6065190348369229
sub-0085_ses-wave2_T1w	0.3608009792993773	3.2488564531244504	0.6443587351871419	644.7827758789062	3.5621563929522444	3.6514778745089074	3.614920347826087	3.420070956521739	0.16130293579963143	0.4723594008457583	0.36633766335461027	1.440946340560913	0.6052570104599	0.0	0.04979583353634571	21.516199797852757	8.262609911216487	11.480494487790027	176	232	256	2.710072551736648	11.166494296734387	11.131925898394606	19.51921084671278	19.976408747735114	34.428727327770865	33.888533959495135	47.260465802979425	0.8999999761581421	0.8984375	0.8984375	0.7483794532452199	13.862290304925182	18.222143173217773	18.773130416870117	2209181.0	0.0	37.56307601928711	10.171870231628418	14.118341344665122	136.7537436799759	440.89031982421875	422.6887512207031	27428.0	247.83696212768558	664.7611602783202	155.96669006347656	2.1577273479961203	52.93104383398609	736.06494140625	728.4910888671875	54002.0	644.9353302001953	858.90390625	65.23841094970703	5.002285951846593	45.030694225359326	997.3013305664062	1000.0029296875	263420.0	909.1742004394531	1072.2024169921874	51.231632232666016	0.12436847388744354	0.418898344039917	0.46871933341026306	0.6245202162700021
sub-0085_ses-wave3_T1w	0.3197917921713335	4.132349493570369	0.5284315383826322	7583.09716796875	4.032355356989442	3.99766677256867	4.072093350659869	4.027305947739787	0.18807834767522225	0.4663872686938786	0.34553438363089917	1.2853024005889893	0.3360063433647156	0.0	0.008432435234142945	25.23162644090963	11.750444030851558	18.001669258322693	176	288	288	3.32088855219411	13.798137743994834	12.472128606430305	20.297359523101974	39.10431439368156	72.85472211071351	71.75861810319992	103.31681780520469	0.8999999761581421	0.8819444179534912	0.8819444179534912	13.741077863085422	6.341083959346008	6.421135425567627	4.27699613571167	3844004.0	0.0	21.0266408920288	7.195993423461914	-0.5439487744327338	130.05791788302687	379.8000793457031	378.4917907714844	16962.0	200.08256454467775	559.7663726806641	113.96968841552734	0.11862881001900938	50.07610250752475	706.0320434570312	705.1629638671875	59990.0	622.8588806152344	791.3633666992187	51.1052360534668	0.8506110616170326	44.21243064132387	996.4370727539062	1000.0064697265625	258230.0	906.3303039550781	1070.0317626953124	49.26771545410156	0.1549752652645111	0.4613960385322571	0.48896166682243347	0.3763401982214646
sub-0086_ses-wave1_T1w	0.3888092293580546	3.194213029063142	0.6195379251035611	488.3963623046875	3.719792522801725	3.7675556553616962	3.879568695652174	3.512253217391304	0.13723889757101101	0.4889903491725522	0.37377075325643677	1.6296029090881348	0.7400003314018246	0.0	0.024953289237717554	24.724277481445466	8.167383071704762	11.335606157033318	176	232	256	3.2062761057764564	13.890208631919208	11.322648635082436	16.871461167551637	24.540616732300148	39.41746735393779	39.011652192006295	53.07687248978095	0.8999999761581421	0.8984375	0.8984375	3.6845565721367164	12.343378629621766	17.331451416015625	16.724428176879883	2350102.0	0.0	33.63467025756836	10.934117317199707	23.51102573298694	140.75880118970454	459.4253234863281	462.3680419921875	20467.0	259.1727752685547	653.1037780761719	144.2036590576172	0.9682286873425148	49.28847007894365	743.7203979492188	742.6617431640625	69923.0	658.6270935058593	832.2103942871094	53.466182708740234	0.9939896085720572	50.77387751404921	993.7326049804688	1000.0176391601562	270467.0	880.2370849609376	1079.0303588867187	59.27262496948242	0.14314092695713043	0.47094807028770447	0.4912603199481964	0.6677044936826284
sub-0086_ses-wave2_T1w	0.3794675539110569	3.254707537507477	0.6166384159451386	592.7901611328125	3.579080753511351	3.6345556518383995	3.723330782608696	3.3793558260869565	0.14047345700530872	0.4884372836821031	0.3710892593125882	1.6394946575164795	0.6481538116931913	0.0	0.027232842222523274	24.45009014954218	8.194251627504567	11.497403504712405	176	232	256	2.8074155687593327	13.461769102595152	11.485869577036953	18.188424059756375	27.290473618896357	44.15243678799184	43.599591237842326	59.355863306638774	0.8999999761581421	0.8984375	0.8984375	1.48007407965763	11.037724921420072	19.90471839904785	15.092096328735352	2530788.0	7.46479606628418	37.57098121643067	10.832287788391113	28.796201595791057	143.86182320354584	463.99871826171875	459.78936767578125	20071.0	259.8477020263672	665.331787109375	163.7726593017578	1.7507098943478656	49.033466840921875	745.6533203125	743.87939453125	67324.0	660.2020721435547	837.5036743164062	55.25825500488281	0.9497842995711534	48.166021475529135	995.6441040039062	1000.0264282226562	272582.0	894.3995941162109	1077.3608947753905	54.98137664794922	0.14591243863105774	0.46908438205718994	0.4961887001991272	0.6660540830552074
sub-0086_ses-wave3_T1w	0.31198314297083135	4.192075355956101	0.5123134522397238	6679.7236328125	3.894809164620378	3.8660889913052716	3.963276969438597	3.8550615331172655	0.1441453858262435	0.5003015509955648	0.35555306317819163	1.4624650478363037	0.414548820257187	0.0	0.03337160683842214	29.59726639011946	10.460213366597117	15.968664802054015	176	288	288	2.6528052112008	13.987953372605908	12.06844358896985	19.56457218310284	37.307811795036535	69.3836403307609	68.64135982868667	99.23262736026257	0.8999999761581421	0.8819444179534912	0.8819444179534912	8.52939433033811	6.6020871654332645	6.341798305511475	4.459673881530762	4059202.0	0.0	17.816776275634766	6.12800931930542	32.627844956616954	152.54853836874082	383.2956848144531	375.9666442871094	11881.0	196.02963256835938	573.0460205078125	141.7182159423828	0.05298431837165385	49.38466186106471	700.2379150390625	699.2083740234375	92951.0	619.2129516601562	784.2528381347656	49.98619842529297	1.1160054195599463	44.46014936527157	995.7376708984375	1000.00927734375	287811.0	902.7340393066406	1071.2774658203125	51.113182067871094	0.15015454590320587	0.4687986671924591	0.48817771673202515	0.3989401582925308
sub-0134_ses-wave1_T1w	0.3664586127209963	3.308983560230459	0.6076980652957253	1106.3526611328125	3.4709650627215893	3.6381223185995504	3.5433182608695653	3.231454608695652	0.14292016166496627	0.5047330686698035	0.3523467696652302	1.405678391456604	0.6104433715343476	0.0	0.05038893148821045	22.30752855112323	7.287331956629568	10.834590148290532	176	232	256	1.2045196262819122	14.359947611376896	10.78804773355195	16.799675962997046	23.900126223045103	44.182031142559396	42.64548901475124	59.85430967864924	0.8999999761581421	0.8984375	0.8984375	1.0204508638297698	10.945632799345166	14.599061012268066	14.794198989868164	3096951.0	0.0	29.69481658935547	8.719149589538574	11.772595885151084	135.64964209803367	491.05096435546875	399.3092346191406	30401.0	251.40701293945312	1315.804443359375	331.503662109375	2.263441804869001	44.87305915061343	740.4749145507812	738.1673583984375	111591.0	662.5183410644531	823.5834655761719	51.40436935424805	1.014004591299103	51.08163692232176	992.7445678710938	1000.0105590820312	297115.0	877.3613220214843	1076.999865722656	59.52548599243164	0.1357181817293167	0.44542932510375977	0.47620388865470886	0.6196725031067176
