parc_name,gmd_sws_total_fdr,zALFF_sws_total_fdr,zfALFF_sws_total_fdr,zDCbin_sws_total_fdr,zDCwei_sws_total_fdr,zReHo_sws_total_fdr
17Networks_RH_ContA_IPS_2,,,0.035628445120417,,,
17Networks_RH_ContA_IPS_1,,,0.038571567758869,,,
17Networks_RH_LimbicA_TempPole_6,,,,,,
17Networks_RH_LimbicA_TempPole_5,,,,,,
17Networks_RH_LimbicA_TempPole_4,,,,,,
17Networks_RH_LimbicA_TempPole_3,,,,,,
17Networks_RH_LimbicA_TempPole_2,,,,,,
17Networks_RH_LimbicA_TempPole_1,,,,,,
17Networks_RH_LimbicB_OFC_6,,,,,,
17Networks_RH_LimbicB_OFC_5,,,,,,
17Networks_RH_LimbicB_OFC_4,,,,,,
17Networks_RH_LimbicB_OFC_3,,,,,,
17Networks_RH_LimbicB_OFC_2,,,,,,
17Networks_RH_LimbicB_OFC_1,,,,,,
17Networks_RH_SalVentAttnB_PFCmp_2,,,0.026903880702785,,,
17Networks_RH_SalVentAttnB_PFCmp_1,,,0.014855420518547,,,
17Networks_RH_SalVentAttnB_Ins_2,,,,,,
17Networks_RH_SalVentAttnB_Ins_1,,,,,,
17Networks_RH_SalVentAttnB_PFCl_3,,,0.040176966219139,,,
17Networks_RH_SalVentAttnB_PFCl_2,,,0.0292415330267,,,
17Networks_RH_SalVentAttnB_PFCl_1,,,0.006447047112337,,,
17Networks_RH_SalVentAttnB_PFClv_1,,,0.026109301883924,,,
17Networks_RH_SalVentAttnB_IPL_1,,,,,,
17Networks_RH_SalVentAttnA_FrMed_4,,,,0.046099988430321,0.041309255498928,
17Networks_RH_SalVentAttnA_FrMed_3,,,0.032872898931033,,,
17Networks_RH_SalVentAttnA_ParMed_4,,,0.04750728904574,0.04750728904574,0.044540428762109,
17Networks_RH_SalVentAttnA_ParMed_3,,,0.023951422516612,,,
17Networks_RH_SalVentAttnA_FrMed_2,,,0.0292415330267,,,
17Networks_RH_SalVentAttnA_ParMed_2,,,0.040176966219139,0.035035334903833,0.0292415330267,
17Networks_RH_SalVentAttnA_ParMed_1,,,,,,
17Networks_RH_SalVentAttnA_FrMed_1,,,0.032136943545218,0.048666690964411,0.041309255498928,
17Networks_RH_SalVentAttnA_FrOper_3,,,0.04620256910693,,,
17Networks_RH_SalVentAttnA_FrOper_2,,,,,,0.039987965805697
17Networks_RH_SalVentAttnA_FrOper_1,,,,,,
17Networks_RH_SalVentAttnA_Ins_4,,,,,,
