,parcel_name,zfALFF_sws_total_bonferroni,sws_total
rHipp_L,zfALFF_rHipp_L,0.026328745336531,0.026328745336531
mAmyg_L,zfALFF_mAmyg_L,0.037395052228372,0.037395052228372
17Networks_RH_SalVentAttnB_PFCl_1,zfALFF_17Networks_RH_SalVentAttnB_PFCl_1,0.038682282674023,0.038682282674023
17Networks_RH_SomMotA_1,zfALFF_17Networks_RH_SomMotA_1,0.035766573767549,0.035766573767549
17Networks_LH_LimbicA_TempPole_6,zfALFF_17Networks_LH_LimbicA_TempPole_6,0.004866913971969,0.004866913971969
17Networks_LH_SalVentAttnA_Ins_1,zfALFF_17Networks_LH_SalVentAttnA_Ins_1,0.010132330620107,0.010132330620107
