,fALFF_sws_total_r,gmd_sws_total_fdr,gmd_sws_total_p,gmd_sws_total_r,parc_name,parcel_name,sws_total,zALFF_sws_total_fdr,zALFF_sws_total_p,zALFF_sws_total_r,zDCbin_sws_total_fdr,zDCbin_sws_total_p,zDCbin_sws_total_r,zDCwei_sws_total_fdr,zDCwei_sws_total_p,zDCwei_sws_total_r,zReHo_sws_total_fdr,zReHo_sws_total_p,zReHo_sws_total_r,zfALFF_sws_total_bonferroni,zfALFF_sws_total_fdr,zfALFF_sws_total_p,zfALFF_sws_total_r
0,0.067268222470055,,0.23112770806656,0.033909297481804,17Networks_17,gmd_17Networks_17zReHo_17Networks_17fALFF_17Networks_17zDCwei_17Networks_17,0.097195436170247,,0.115192712597133,,,0.744483796654898,,,0.688717767441979,-0.005426199185232,,0.330872790444334,0.00144411540362,,,0.735712448124332,
1,0.029139207684444,,0.323083311759709,-0.092583855602903,17Networks_16,gmd_17Networks_16zReHo_17Networks_16fALFF_17Networks_16zDCwei_17Networks_16,-0.054152092838733,,0.274130052042997,,,0.552571325689546,,,0.522871723588441,-0.040846164577783,,0.796419971413015,0.050138719657509,,,0.614561462246972,
2,0.072161648089593,,0.521962285847671,-0.072050507774911,17Networks_15,gmd_17Networks_15zReHo_17Networks_15fALFF_17Networks_15zDCwei_17Networks_15,0.099972157208679,,0.42628920294105,,,0.199012934818243,,,0.192753883214913,-0.001432179971861,0.044540428762109,0.038885740892488,0.101293196865858,,,0.105121475840751,
3,0.094398401906705,,0.666003194258502,-0.015831396004142,17Networks_14,gmd_17Networks_14zReHo_17Networks_14fALFF_17Networks_14zDCwei_17Networks_14,0.112415298869264,,0.65082571871613,,,0.650018761526966,,,0.549601364930093,-0.016478078538303,,0.595503687760262,0.050326371505004,,,0.855993637324184,
4,0.073949746816241,,0.360521358561534,-0.054018150618178,17Networks_13,gmd_17Networks_13zReHo_17Networks_13fALFF_17Networks_13zDCwei_17Networks_13,0.053832548046543,,0.903114086648848,,,0.796748921607604,,,0.823361989403748,0.000465184451822,,0.591608709249471,0.033435767396658,,,0.694378037174453,
5,0.104250942927002,,0.757080465719908,-0.0274427856543,17Networks_12,gmd_17Networks_12zReHo_17Networks_12fALFF_17Networks_12zDCwei_17Networks_12,0.104841670664556,,0.198209251779513,,,0.786555884069915,,,0.667677802932012,0.018393629029436,,0.468106478463424,0.009639884362418,,,0.677163434619578,
6,0.112415938773883,,0.649129527374939,-0.020506110473178,17Networks_11,gmd_17Networks_11zReHo_17Networks_11fALFF_17Networks_11zDCwei_17Networks_11,0.210853481950895,,0.571871957662215,,,0.070105059685494,,,0.058927948426996,0.024667030554004,,0.069618345569106,0.094276623096186,,,0.07996187631133,
7,0.150428224388061,,0.577229449692109,-0.049198827414386,17Networks_10,gmd_17Networks_10zReHo_17Networks_10fALFF_17Networks_10zDCwei_17Networks_10,0.210804467708316,,0.582847916201873,,,0.872714105195349,,,0.824920056642567,0.023845630731712,,0.462627265384528,0.085729440002929,,,0.480544637138691,
8,0.120258929254959,,0.874711675229719,-0.070913166020503,17Networks_9,gmd_17Networks_9zReHo_17Networks_9fALFF_17Networks_9zDCwei_17Networks_9,0.253053413551,,0.482035687505031,,0.048666690964411,0.046272023632852,,0.044540428762109,0.038468330575576,0.094811376867452,,0.083035183792197,0.108896273449092,,0.04447808578329,0.036624224903133,
9,0.081673369611348,,0.868761347085412,-0.10114989834934,17Networks_8,gmd_17Networks_8zReHo_17Networks_8fALFF_17Networks_8zDCwei_17Networks_8,0.084884002657071,,0.498216807455384,,,0.821305479494229,,,0.737367800542303,0.049959582654852,,0.303514522997134,0.054400948740211,,,0.135098598568634,
