parc_name,parcel_name,zALFF_sws_fa_r,zDCbin_sws_fa_r,zDCwei_sws_fa_r,zfALFF_sws_fa_r,zReHo_sws_fa_r,gmd_sws_fa_r,sws_fa
Otha_L,zReHo_Otha_Lgmd_Otha_LzfALFF_Otha_LzALFF_Otha_LzDCwei_Otha_LzDCbin_Otha_L,-0.008887976996728,0.046840725572848,0.046671565141913,0.189479392483217,0.174154232725995,-0.010151515919834,0.438106423007411
PPtha_R,zReHo_PPtha_Rgmd_PPtha_RzfALFF_PPtha_RzALFF_PPtha_RzDCwei_PPtha_RzDCbin_PPtha_R,0.066340303951156,-0.004601350870858,-0.003780934566821,0.115441049576803,0.020704815642856,0.156429630159421,0.350533513892557
PPtha_L,zReHo_PPtha_Lgmd_PPtha_LzfALFF_PPtha_LzALFF_PPtha_LzDCwei_PPtha_LzDCbin_PPtha_L,0.034204855386017,0.058303276306149,0.070292014585663,0.132231145689081,0.092894115252234,-0.100644576933182,0.287280830285962
rTtha_R,zReHo_rTtha_Rgmd_rTtha_RzfALFF_rTtha_RzALFF_rTtha_RzDCwei_rTtha_RzDCbin_rTtha_R,0.021308631973089,0.117312132221144,0.11903967914775,0.206184761193372,0.08757351654558,-0.001257425900707,0.550161295180228
rTtha_L,zReHo_rTtha_Lgmd_rTtha_LzfALFF_rTtha_LzALFF_rTtha_LzDCwei_rTtha_LzDCbin_rTtha_L,-0.002738695871445,0.046010108662044,0.046636711361983,0.185775805450508,0.097723411926182,-0.091823643675785,0.281583697853487
Stha_R,zReHo_Stha_Rgmd_Stha_RzfALFF_Stha_RzALFF_Stha_RzDCwei_Stha_RzDCbin_Stha_R,0.039268342488836,0.031572562933563,0.041582522229269,0.15321289457837,0.070999386701178,-0.169768332171579,0.166867376759637
Stha_L,zReHo_Stha_Lgmd_Stha_LzfALFF_Stha_LzALFF_Stha_LzDCwei_Stha_LzDCbin_Stha_L,-0.037855997445209,0.050919753037584,0.058440762379755,0.191375514266086,0.122318645184902,-0.095872974209262,0.289325703213856
mPMtha_R,zReHo_mPMtha_Rgmd_mPMtha_RzfALFF_mPMtha_RzALFF_mPMtha_RzDCwei_mPMtha_RzDCbin_mPMtha_R,-0.032314014705019,0.03909826011044,0.044066626078604,0.05031197138663,0.108236183248155,-0.039436392604185,0.169962633514625
mPMtha_L,zReHo_mPMtha_Lgmd_mPMtha_LzfALFF_mPMtha_LzALFF_mPMtha_LzDCwei_mPMtha_LzDCbin_mPMtha_L,-0.001682170577565,0.131592169584536,0.138393243314105,0.145653802184147,0.142834133996096,0.000522617611402,0.557313796112721
mPFtha_R,zReHo_mPFtha_Rgmd_mPFtha_RzfALFF_mPFtha_RzALFF_mPFtha_RzDCwei_mPFtha_RzDCbin_mPFtha_R,-0.018014025599384,0.059140167228697,0.058211090408087,0.079239069993839,0.122635418193579,0.080593797981603,0.381805518206421
mPFtha_L,zReHo_mPFtha_Lgmd_mPFtha_LzfALFF_mPFtha_LzALFF_mPFtha_LzDCwei_mPFtha_LzDCbin_mPFtha_L,-0.017106737253834,0.084175465798081,0.077790936182959,0.14651286796867,0.099095502257924,-0.006071967256529,0.384396067697271
