parc_name,parcel_name,zALFF_sws_total_r,zfALFF_sws_total_r,zDCbin_sws_total_r,zDCwei_sws_total_r,fALFF_sws_total_r,zReHo_sws_total_r,gmd_sws_total_r,sws_total
rTtha_L,gmd_rTtha_LzReHo_rTtha_LzfALFF_rTtha_LzALFF_rTtha_LzDCwei_rTtha_LzDCbin_rTtha_L,0.070556336752707,0.199378999705423,0.08591241549805,0.085632222017513,0,0.105799931019359,-0.022110957373117,0.525168947619935
Stha_R,gmd_Stha_RzReHo_Stha_RzfALFF_Stha_RzALFF_Stha_RzDCwei_Stha_RzDCbin_Stha_R,0.124135814403517,0.217393064815936,0.117249151888891,0.14276366652416,0,0.155512502032255,0.022155927697741,0.7792101273625
Stha_L,gmd_Stha_LzReHo_Stha_LzfALFF_Stha_LzALFF_Stha_LzDCwei_Stha_LzDCbin_Stha_L,0.065008505230549,0.201201671918224,0.14364842545539,0.152837704133045,0,0.149669471716475,0.024847711804039,0.737213490257722
mPMtha_R,gmd_mPMtha_RzReHo_mPMtha_RzfALFF_mPMtha_RzALFF_mPMtha_RzDCwei_mPMtha_RzDCbin_mPMtha_R,0.086072967291604,0.119096845846273,0.14976096510496,0.166063616171242,0,0.159719514559344,0.015888492337979,0.696602401311402
mPMtha_L,gmd_mPMtha_LzReHo_mPMtha_LzfALFF_mPMtha_LzALFF_mPMtha_LzDCwei_mPMtha_LzDCbin_mPMtha_L,0.113064826528163,0.210563630697799,0.224094950691845,0.229585803201891,0,0.138204716064424,0.023571933536702,0.939085860720824
mPFtha_R,gmd_mPFtha_RzReHo_mPFtha_RzfALFF_mPFtha_RzALFF_mPFtha_RzDCwei_mPFtha_RzDCbin_mPFtha_R,0.078097982517193,0.109120768907021,0.125075231740684,0.11293868945682,0,0.124132254034554,0.019669357218301,0.569034283874573
mPFtha_L,gmd_mPFtha_LzReHo_mPFtha_LzfALFF_mPFtha_LzALFF_mPFtha_LzDCwei_mPFtha_LzDCbin_mPFtha_L,0.061972483499379,0.183485397478588,0.148606007095288,0.134952233951901,0,0.137264311228963,0.017320311907142,0.683600745161261
dlPu_R,gmd_dlPu_RzReHo_dlPu_RzfALFF_dlPu_RzALFF_dlPu_RzDCwei_dlPu_RzDCbin_dlPu_R,-0.120355605133386,-0.124452140564719,0.141090782199985,0.140850576732115,0,-0.010438145217786,0.017971628048772,0.044667096064981
dlPu_L,gmd_dlPu_LzReHo_dlPu_LzfALFF_dlPu_LzALFF_dlPu_LzDCwei_dlPu_LzDCbin_dlPu_L,0.041952186499195,0.06880693970369,0.173267873688553,0.211206872653939,0,0.09240032618582,0.033677879655048,0.621312078386245
dCa_R,gmd_dCa_RzReHo_dCa_RzfALFF_dCa_RzALFF_dCa_RzDCwei_dCa_RzDCbin_dCa_R,0.001732764376036,-0.120184017279773,0.025252742895785,0.034853651441346,0,-0.097037093121013,0.028959104536906,-0.126422847150713
dCa_L,gmd_dCa_LzReHo_dCa_LzfALFF_dCa_LzALFF_dCa_LzDCwei_dCa_LzDCbin_dCa_L,0.178183984480047,-0.099577354485008,-0.025891748659313,-0.031161308345614,0,-0.133594676923014,0.086365455590476,-0.025675648342426
vmPu_R,gmd_vmPu_RzReHo_vmPu_RzfALFF_vmPu_RzALFF_vmPu_RzDCwei_vmPu_RzDCbin_vmPu_R,-0.079425880781062,-0.114072308286463,0.063019784706254,0.072341468427296,0,-0.067226242712468,0.027476339131415,-0.097886839515028
vmPu_L,gmd_vmPu_LzReHo_vmPu_LzfALFF_vmPu_LzALFF_vmPu_LzDCwei_vmPu_LzDCbin_vmPu_L,-0.013199473144705,-0.009463421961973,0.0800203073556,0.084117604806221,0,-0.022131090846778,0.025892384701929,0.145236310910294
NAC_R,gmd_NAC_RzReHo_NAC_RzfALFF_NAC_RzALFF_NAC_RzDCwei_NAC_RzDCbin_NAC_R,-0.011209694513992,0.104717151051385,0.005243357997005,0.023710496868199,0,0.071647918438173,0.051508520616928,0.245617750457698
NAC_L,gmd_NAC_LzReHo_NAC_LzfALFF_NAC_LzALFF_NAC_LzDCwei_NAC_LzDCbin_NAC_L,0.002773113529905,0.153160963044727,0.055500837800455,0.052780189865349,0,0.081275489359181,0.046106259843171,0.391596853442788
GP_R,gmd_GP_RzReHo_GP_RzfALFF_GP_RzALFF_GP_RzDCwei_GP_RzDCbin_GP_R,-0.054227895696112,0.077613880735751,0.056767741891477,0.067885369630118,0,0.03657513105385,0.022450353037371,0.207064580652455
GP_L,gmd_GP_LzReHo_GP_LzfALFF_GP_LzALFF_GP_LzDCwei_GP_LzDCbin_GP_L,0.010452413145447,0.04421161527116,0.051819606661809,0.058192130730497,0,0.009938440938571,0.055510094664828,0.230124301412312
vCa_R,gmd_vCa_RzReHo_vCa_RzfALFF_vCa_RzALFF_vCa_RzDCwei_vCa_RzDCbin_vCa_R,-0.15058077529554,-0.081829533822632,0.042984512214717,0.051044450508697,0,0.011107222255363,0.049057120750954,-0.078217003388441
vCa_L,gmd_vCa_LzReHo_vCa_LzfALFF_vCa_LzALFF_vCa_LzDCwei_vCa_LzDCbin_vCa_L,0.011721461354518,-0.111664679745411,-0.01534128029404,0.015225921523549,0,-0.059528680059178,0.006171007458605,-0.153416249761957
cHipp_R,gmd_cHipp_RzReHo_cHipp_RzfALFF_cHipp_RzALFF_cHipp_RzDCwei_cHipp_RzDCbin_cHipp_R,-0.002949597446037,0.016528807434632,0.010067895990135,-0.008688181425239,0,0.010274384652336,0.000891522863629,0.026124832069456
cHipp_L,gmd_cHipp_LzReHo_cHipp_LzfALFF_cHipp_LzALFF_cHipp_LzDCwei_cHipp_LzDCbin_cHipp_L,-0.003626461409097,0.298801114018178,0.077012317079148,0.071129632090186,0,0.212114075969472,0.087214192292787,0.742644870040674
rHipp_R,gmd_rHipp_RzReHo_rHipp_RzfALFF_rHipp_RzALFF_rHipp_RzDCwei_rHipp_RzDCbin_rHipp_R,-0.032694207338113,0.224112720508797,0.08824855475071,0.087698331910047,0,0.122820037425515,0.044479704691948,0.534665141948904
rHipp_L,gmd_rHipp_LzReHo_rHipp_LzfALFF_rHipp_LzALFF_rHipp_LzDCwei_rHipp_LzDCbin_rHipp_L,-0.017343694149184,0.342219929850154,0.114487248729486,0.128850476789149,0,0.109047403267967,0.022684827566558,0.69994619205413
lAmyg_R,gmd_lAmyg_RzReHo_lAmyg_RzfALFF_lAmyg_RzALFF_lAmyg_RzDCwei_lAmyg_RzDCbin_lAmyg_R,-0.002184767032216,0.225677960551019,0.139176607694071,0.141331189863919,0,0.137789437961445,0.052922811294057,0.694713240332295
lAmyg_L,gmd_lAmyg_LzReHo_lAmyg_LzfALFF_lAmyg_LzALFF_lAmyg_LzDCwei_lAmyg_LzDCbin_lAmyg_L,0.006587964774027,0.207255473815181,0.093693678411593,0.102625602821056,0,0.094404291730028,-0.001316612816585,0.5032503987353
mAmyg_R,gmd_mAmyg_RzReHo_mAmyg_RzfALFF_mAmyg_RzALFF_mAmyg_RzDCwei_mAmyg_RzDCbin_mAmyg_R,-0.020306419476682,0.287235763535118,0.127222338132813,0.140063559667286,0,0.110026355173393,0.072771271579691,0.717012868611619
mAmyg_L,gmd_mAmyg_LzReHo_mAmyg_LzfALFF_mAmyg_LzALFF_mAmyg_LzDCwei_mAmyg_LzDCbin_mAmyg_L,-0.084298848435702,0.33852321505158,0.095763242351481,0.090624700756244,0,0.22466052707096,-0.026372876522479,0.638899960272084
17Networks_RH_TempPar_2,gmd_17Networks_RH_TempPar_2zDCwei_17Networks_RH_TempPar_2zDCbin_17Networks_RH_TempPar_2zReHo_17Networks_RH_TempPar_2zfALFF_17Networks_RH_TempPar_2zALFF_17Networks_RH_TempPar_2,-0.312156583640337,-0.115995112998899,-0.198715418311776,-0.199382217202971,0,-0.043777842316023,-0.005778367913223,-0.875805542383229
17Networks_RH_TempPar_1,gmd_17Networks_RH_TempPar_1zDCwei_17Networks_RH_TempPar_1zDCbin_17Networks_RH_TempPar_1zReHo_17Networks_RH_TempPar_1zfALFF_17Networks_RH_TempPar_1zALFF_17Networks_RH_TempPar_1,-0.101321634344297,0.113015638126939,0.028089177387106,0.029284466118932,0,0.065213437780251,0.14088486266329,0.275165947732221
17Networks_RH_DefaultC_PHC_1,gmd_17Networks_RH_DefaultC_PHC_1zDCwei_17Networks_RH_DefaultC_PHC_1zDCbin_17Networks_RH_DefaultC_PHC_1zReHo_17Networks_RH_DefaultC_PHC_1zfALFF_17Networks_RH_DefaultC_PHC_1zALFF_17Networks_RH_DefaultC_PHC_1,-0.125967121314389,-0.034109355855702,-0.191921698815291,-0.183299708184803,0,-0.124548838325929,0.066931472833756,-0.592915249662358
17Networks_RH_DefaultC_Rsp_1,gmd_17Networks_RH_DefaultC_Rsp_1zDCwei_17Networks_RH_DefaultC_Rsp_1zDCbin_17Networks_RH_DefaultC_Rsp_1zReHo_17Networks_RH_DefaultC_Rsp_1zfALFF_17Networks_RH_DefaultC_Rsp_1zALFF_17Networks_RH_DefaultC_Rsp_1,-0.06437708257174,-0.067967067724205,0.083347529184216,0.097568191539283,0,0.042137285519084,0.012980306400427,0.103689162347065
17Networks_RH_DefaultB_PFCv_2,gmd_17Networks_RH_DefaultB_PFCv_2zDCwei_17Networks_RH_DefaultB_PFCv_2zDCbin_17Networks_RH_DefaultB_PFCv_2zReHo_17Networks_RH_DefaultB_PFCv_2zfALFF_17Networks_RH_DefaultB_PFCv_2zALFF_17Networks_RH_DefaultB_PFCv_2,-0.117974798178101,-0.145204414248254,-0.030961785492365,-0.023969797121697,0,-0.029938110338387,0.010661091194333,-0.337387814184471
17Networks_RH_DefaultB_PFCv_1,gmd_17Networks_RH_DefaultB_PFCv_1zDCwei_17Networks_RH_DefaultB_PFCv_1zDCbin_17Networks_RH_DefaultB_PFCv_1zReHo_17Networks_RH_DefaultB_PFCv_1zfALFF_17Networks_RH_DefaultB_PFCv_1zALFF_17Networks_RH_DefaultB_PFCv_1,-0.034155682494684,0.06257621245642,-0.010556379728415,0.008476923980702,0,-0.043287920784603,0.000990258564431,-0.015956588006149
17Networks_RH_DefaultB_PFCd_1,gmd_17Networks_RH_DefaultB_PFCd_1zDCwei_17Networks_RH_DefaultB_PFCd_1zDCbin_17Networks_RH_DefaultB_PFCd_1zReHo_17Networks_RH_DefaultB_PFCd_1zfALFF_17Networks_RH_DefaultB_PFCd_1zALFF_17Networks_RH_DefaultB_PFCd_1,0.18134528970916,-0.115332636697458,0.028398843511517,0.037643737896357,0,0.098430293603879,0.106977502058165,0.33746303008162
17Networks_RH_DefaultA_PFCm_1,gmd_17Networks_RH_DefaultA_PFCm_1zDCwei_17Networks_RH_DefaultA_PFCm_1zDCbin_17Networks_RH_DefaultA_PFCm_1zReHo_17Networks_RH_DefaultA_PFCm_1zfALFF_17Networks_RH_DefaultA_PFCm_1zALFF_17Networks_RH_DefaultA_PFCm_1,0.139752100253409,-0.141575989658337,0.111570989402098,0.120071371479131,0,0.186700641417554,-0.103635856205317,0.312883256688538
17Networks_RH_DefaultA_pCunPCC_1,gmd_17Networks_RH_DefaultA_pCunPCC_1zDCwei_17Networks_RH_DefaultA_pCunPCC_1zDCbin_17Networks_RH_DefaultA_pCunPCC_1zReHo_17Networks_RH_DefaultA_pCunPCC_1zfALFF_17Networks_RH_DefaultA_pCunPCC_1zALFF_17Networks_RH_DefaultA_pCunPCC_1,0.067976075843833,-0.12031617169328,0.041576944353337,0.048156542421465,0,-0.153932494422565,0.14825747622211,0.0317183727249
17Networks_RH_DefaultA_PFCd_1,gmd_17Networks_RH_DefaultA_PFCd_1zDCwei_17Networks_RH_DefaultA_PFCd_1zDCbin_17Networks_RH_DefaultA_PFCd_1zReHo_17Networks_RH_DefaultA_PFCd_1zfALFF_17Networks_RH_DefaultA_PFCd_1zALFF_17Networks_RH_DefaultA_PFCd_1,0.160092912658807,-0.245561293539067,-0.070066361354623,-0.054364217672626,0,-0.056947748776408,-0.076348901932589,-0.343195610616506
17Networks_RH_DefaultA_IPL_1,gmd_17Networks_RH_DefaultA_IPL_1zDCwei_17Networks_RH_DefaultA_IPL_1zDCbin_17Networks_RH_DefaultA_IPL_1zReHo_17Networks_RH_DefaultA_IPL_1zfALFF_17Networks_RH_DefaultA_IPL_1zALFF_17Networks_RH_DefaultA_IPL_1,-0.054879929176226,-0.170446409266515,-0.152090519362048,-0.113973680288226,0,-0.056945650107943,-0.150633344066001,-0.698969532266959
17Networks_RH_ContC_pCun_1,gmd_17Networks_RH_ContC_pCun_1zDCwei_17Networks_RH_ContC_pCun_1zDCbin_17Networks_RH_ContC_pCun_1zReHo_17Networks_RH_ContC_pCun_1zfALFF_17Networks_RH_ContC_pCun_1zALFF_17Networks_RH_ContC_pCun_1,0.033061082154952,-0.157834151124682,0.00397478685266,0.021160619128202,0,-0.08160424190451,-0.022058742927324,-0.203300647820702
17Networks_RH_ContC_Cingp_1,gmd_17Networks_RH_ContC_Cingp_1zDCwei_17Networks_RH_ContC_Cingp_1zDCbin_17Networks_RH_ContC_Cingp_1zReHo_17Networks_RH_ContC_Cingp_1zfALFF_17Networks_RH_ContC_Cingp_1zALFF_17Networks_RH_ContC_Cingp_1,0.08408399597628,-0.152100632929512,-0.010598026770695,-0.00740445155327,0,0.153399663452895,-0.070795793628679,-0.003415245452981
17Networks_RH_ContB_PFClv_1,gmd_17Networks_RH_ContB_PFClv_1zDCwei_17Networks_RH_ContB_PFClv_1zDCbin_17Networks_RH_ContB_PFClv_1zReHo_17Networks_RH_ContB_PFClv_1zfALFF_17Networks_RH_ContB_PFClv_1zALFF_17Networks_RH_ContB_PFClv_1,0.103062617852646,-0.149815279102976,-0.000524610133443,0.017232411799612,0,0.124167617347792,-0.098010077963799,-0.003887320200168
17Networks_RH_ContB_PFCld_1,gmd_17Networks_RH_ContB_PFCld_1zDCwei_17Networks_RH_ContB_PFCld_1zDCbin_17Networks_RH_ContB_PFCld_1zReHo_17Networks_RH_ContB_PFCld_1zfALFF_17Networks_RH_ContB_PFCld_1zALFF_17Networks_RH_ContB_PFCld_1,-0.083055725288669,-0.241727445404658,-0.114577166765122,-0.144348931943334,0,-0.047155257517358,-0.024778969194256,-0.655643496113397
17Networks_RH_ContB_IPL_1,gmd_17Networks_RH_ContB_IPL_1zDCwei_17Networks_RH_ContB_IPL_1zDCbin_17Networks_RH_ContB_IPL_1zReHo_17Networks_RH_ContB_IPL_1zfALFF_17Networks_RH_ContB_IPL_1zALFF_17Networks_RH_ContB_IPL_1,0.044387549339969,-0.12844875658047,-0.091618074352741,-0.094025965364926,0,0.021095567790026,0.023243767821671,-0.225365911346471
17Networks_RH_ContB_Temp_1,gmd_17Networks_RH_ContB_Temp_1zDCwei_17Networks_RH_ContB_Temp_1zDCbin_17Networks_RH_ContB_Temp_1zReHo_17Networks_RH_ContB_Temp_1zfALFF_17Networks_RH_ContB_Temp_1zALFF_17Networks_RH_ContB_Temp_1,-0.140451885572788,-0.221873765036582,-0.08679985538057,-0.079732936823602,0,-0.035639461756111,0.002942123670569,-0.561555780899084
17Networks_RH_ContA_PFCl_2,gmd_17Networks_RH_ContA_PFCl_2zDCwei_17Networks_RH_ContA_PFCl_2zDCbin_17Networks_RH_ContA_PFCl_2zReHo_17Networks_RH_ContA_PFCl_2zfALFF_17Networks_RH_ContA_PFCl_2zALFF_17Networks_RH_ContA_PFCl_2,-0.218082477788702,-0.284079597019894,-0.126740151027662,-0.125060791455909,0,-0.094329964991051,0.026851290591059,-0.821441691692159
17Networks_RH_ContA_PFCl_1,gmd_17Networks_RH_ContA_PFCl_1zDCwei_17Networks_RH_ContA_PFCl_1zDCbin_17Networks_RH_ContA_PFCl_1zReHo_17Networks_RH_ContA_PFCl_1zfALFF_17Networks_RH_ContA_PFCl_1zALFF_17Networks_RH_ContA_PFCl_1,-0.065601255271528,-0.319176791317949,-0.082043707732146,-0.070106979400568,0,-0.008458191250607,-0.090425207361984,-0.635812132334782
17Networks_RH_ContA_IPS_1,gmd_17Networks_RH_ContA_IPS_1zDCwei_17Networks_RH_ContA_IPS_1zDCbin_17Networks_RH_ContA_IPS_1zReHo_17Networks_RH_ContA_IPS_1zfALFF_17Networks_RH_ContA_IPS_1zALFF_17Networks_RH_ContA_IPS_1,-0.076075631562307,-0.265531421276373,-0.104688313283435,-0.071301928252447,0,-0.156210277073366,0.026004760479065,-0.647802810968863
17Networks_RH_LimbicA_TempPole_1,gmd_17Networks_RH_LimbicA_TempPole_1zDCwei_17Networks_RH_LimbicA_TempPole_1zDCbin_17Networks_RH_LimbicA_TempPole_1zReHo_17Networks_RH_LimbicA_TempPole_1zfALFF_17Networks_RH_LimbicA_TempPole_1zALFF_17Networks_RH_LimbicA_TempPole_1,-0.026936365988793,0.059523129848272,-0.059539146952314,-0.034348046248918,0,-0.002501968602623,0.054084748671596,-0.00971764927278
17Networks_RH_LimbicB_OFC_1,gmd_17Networks_RH_LimbicB_OFC_1zDCwei_17Networks_RH_LimbicB_OFC_1zDCbin_17Networks_RH_LimbicB_OFC_1zReHo_17Networks_RH_LimbicB_OFC_1zfALFF_17Networks_RH_LimbicB_OFC_1zALFF_17Networks_RH_LimbicB_OFC_1,0.005108982591661,0.008141038774125,0.029352724094411,0.033523637457405,0,-0.052484697151336,0.0501392765337,0.073780962299966
17Networks_RH_SalVentAttnB_PFCmp_1,gmd_17Networks_RH_SalVentAttnB_PFCmp_1zDCwei_17Networks_RH_SalVentAttnB_PFCmp_1zDCbin_17Networks_RH_SalVentAttnB_PFCmp_1zReHo_17Networks_RH_SalVentAttnB_PFCmp_1zfALFF_17Networks_RH_SalVentAttnB_PFCmp_1zALFF_17Networks_RH_SalVentAttnB_PFCmp_1,0.128421947541992,-0.310143832248736,-0.077132731145818,-0.067472838181709,0,-0.164142909636557,0.032662758350015,-0.457807605320813
17Networks_RH_SalVentAttnB_PFCl_1,gmd_17Networks_RH_SalVentAttnB_PFCl_1zDCwei_17Networks_RH_SalVentAttnB_PFCl_1zDCbin_17Networks_RH_SalVentAttnB_PFCl_1zReHo_17Networks_RH_SalVentAttnB_PFCl_1zfALFF_17Networks_RH_SalVentAttnB_PFCl_1zALFF_17Networks_RH_SalVentAttnB_PFCl_1,0.069899535974089,-0.23800899256076,-0.13905873557103,-0.129126925285633,0,-0.133466334925441,0.099022300046584,-0.470739152322191
17Networks_RH_SalVentAttnB_IPL_1,gmd_17Networks_RH_SalVentAttnB_IPL_1zDCwei_17Networks_RH_SalVentAttnB_IPL_1zDCbin_17Networks_RH_SalVentAttnB_IPL_1zReHo_17Networks_RH_SalVentAttnB_IPL_1zfALFF_17Networks_RH_SalVentAttnB_IPL_1zALFF_17Networks_RH_SalVentAttnB_IPL_1,-0.056534940319892,-0.181442443141706,-0.180468478124038,-0.167791055733478,0,-0.014986211004763,-0.121786236916605,-0.723009365240482
17Networks_RH_SalVentAttnA_FrMed_1,gmd_17Networks_RH_SalVentAttnA_FrMed_1zDCwei_17Networks_RH_SalVentAttnA_FrMed_1zDCbin_17Networks_RH_SalVentAttnA_FrMed_1zReHo_17Networks_RH_SalVentAttnA_FrMed_1zfALFF_17Networks_RH_SalVentAttnA_FrMed_1zALFF_17Networks_RH_SalVentAttnA_FrMed_1,-0.052033779364435,-0.257138129339856,-0.151321600654309,-0.167595868234127,0,-0.148567799300301,0.085388745917549,-0.691268430975479
17Networks_RH_SalVentAttnA_ParMed_1,gmd_17Networks_RH_SalVentAttnA_ParMed_1zDCwei_17Networks_RH_SalVentAttnA_ParMed_1zDCbin_17Networks_RH_SalVentAttnA_ParMed_1zReHo_17Networks_RH_SalVentAttnA_ParMed_1zfALFF_17Networks_RH_SalVentAttnA_ParMed_1zALFF_17Networks_RH_SalVentAttnA_ParMed_1,-0.062049378472725,-0.175128482591586,-0.221255212953169,-0.20658498842044,0,-0.138262267941484,-0.002823114679963,-0.806103445059367
17Networks_RH_SalVentAttnA_Ins_1,gmd_17Networks_RH_SalVentAttnA_Ins_1zDCwei_17Networks_RH_SalVentAttnA_Ins_1zDCbin_17Networks_RH_SalVentAttnA_Ins_1zReHo_17Networks_RH_SalVentAttnA_Ins_1zfALFF_17Networks_RH_SalVentAttnA_Ins_1zALFF_17Networks_RH_SalVentAttnA_Ins_1,-0.10566743625585,0.004359128011451,-0.033434905964347,-0.022665094800571,0,-0.062095414588014,0.029466969958815,-0.190036753638516
17Networks_RH_SalVentAttnA_ParOper_1,gmd_17Networks_RH_SalVentAttnA_ParOper_1zDCwei_17Networks_RH_SalVentAttnA_ParOper_1zDCbin_17Networks_RH_SalVentAttnA_ParOper_1zReHo_17Networks_RH_SalVentAttnA_ParOper_1zfALFF_17Networks_RH_SalVentAttnA_ParOper_1zALFF_17Networks_RH_SalVentAttnA_ParOper_1,-0.138733106130687,-0.167007952839825,-0.14335392688723,-0.132650089869962,0,-0.031214070222112,0.005014460717267,-0.607944685232549
17Networks_RH_DorsAttnB_FEF_1,gmd_17Networks_RH_DorsAttnB_FEF_1zDCwei_17Networks_RH_DorsAttnB_FEF_1zDCbin_17Networks_RH_DorsAttnB_FEF_1zReHo_17Networks_RH_DorsAttnB_FEF_1zfALFF_17Networks_RH_DorsAttnB_FEF_1zALFF_17Networks_RH_DorsAttnB_FEF_1,-0.013536459535772,-0.279002106451822,-0.109889022027737,-0.10006456517036,0,-0.078726944987331,0.032583336487529,-0.548635761685493
