parc_name,parcel_name,zALFF_sws_gb_r,zDCbin_sws_gb_r,zDCwei_sws_gb_r,zfALFF_sws_gb_r,zReHo_sws_gb_r,gmd_sws_gb_r,sws_gb
17Networks_17,gmd_17Networks_17zReHo_17Networks_17zfALFF_17Networks_17zDCwei_17Networks_17zDCbin_17Networks_17zALFF_17Networks_17,-0.084314022203537,0.021327902960508,0.027930079023011,0.005906126006976,-0.075311652999776,0.051391745608566,-0.053069821604252
17Networks_16,gmd_17Networks_16zReHo_17Networks_16zfALFF_17Networks_16zDCwei_17Networks_16zDCbin_17Networks_16zALFF_17Networks_16,-0.056553501280995,0.04375784068197,0.03842783705105,0.036527336052576,0.002387158051071,0.035596369933201,0.100143040488873
17Networks_15,gmd_17Networks_15zReHo_17Networks_15zfALFF_17Networks_15zDCwei_17Networks_15zDCbin_17Networks_15zALFF_17Networks_15,-0.064140876285162,0.073993556116606,0.061588822320522,0.107159011767437,0.06614292800125,0.026938734279674,0.271682176200327
17Networks_14,gmd_17Networks_14zReHo_17Networks_14zfALFF_17Networks_14zDCwei_17Networks_14zDCbin_17Networks_14zALFF_17Networks_14,-0.057891973542096,-0.014147653477561,-0.01294240340503,0.006863646867498,0.009334713659196,-0.076722089126504,-0.145505759024497
17Networks_13,gmd_17Networks_13zReHo_17Networks_13zfALFF_17Networks_13zDCwei_17Networks_13zDCbin_17Networks_13zALFF_17Networks_13,0.068312187659469,0.023997226487946,0.029363938176385,0.056888854711743,-0.008814818686144,-0.003637912407191,0.166109475942208
17Networks_12,gmd_17Networks_12zReHo_17Networks_12zfALFF_17Networks_12zDCwei_17Networks_12zDCbin_17Networks_12zALFF_17Networks_12,0.003891822298989,-0.027710703777529,-0.0318974660022,-0.010879450507996,-0.049139934821136,-0.078408576446686,-0.194144309256558
17Networks_11,gmd_17Networks_11zReHo_17Networks_11zfALFF_17Networks_11zDCwei_17Networks_11zDCbin_17Networks_11zALFF_17Networks_11,-0.075704140350327,0.056045978342756,0.050058409088713,0.015524457349868,0.021241605928596,-0.006578220534662,0.060588089824944
17Networks_10,gmd_17Networks_10zReHo_17Networks_10zfALFF_17Networks_10zDCwei_17Networks_10zDCbin_17Networks_10zALFF_17Networks_10,0.101090903775495,-0.013939520767631,-0.004591773086636,0.063372433896466,-0.005641348640665,0.003789143179513,0.144079838356542
17Networks_9,gmd_17Networks_9zReHo_17Networks_9zfALFF_17Networks_9zDCwei_17Networks_9zDCbin_17Networks_9zALFF_17Networks_9,-0.111968233107758,0.145875164652729,0.12087283292635,0.017609825801665,0.051270224280053,0.017433615172562,0.241093429725601
17Networks_8,gmd_17Networks_8zReHo_17Networks_8zfALFF_17Networks_8zDCwei_17Networks_8zDCbin_17Networks_8zALFF_17Networks_8,0.054806435903765,0.025492610657508,0.026169622418928,0.065824073312321,-0.031347028865121,-0.057642790972895,0.083302922454506
17Networks_7,gmd_17Networks_7zReHo_17Networks_7zfALFF_17Networks_7zDCwei_17Networks_7zDCbin_17Networks_7zALFF_17Networks_7,0.000970875070746,0.039013228775046,0.034792223434559,-0.044796392636036,0.007246763713407,-0.079152760337035,-0.041926061979313
17Networks_6,gmd_17Networks_6zReHo_17Networks_6zfALFF_17Networks_6zDCwei_17Networks_6zDCbin_17Networks_6zALFF_17Networks_6,0.015322843891879,-0.009700500317044,-0.005363406181074,0.029191662152269,0.019750713421309,-0.027858545906003,0.021342767061336
17Networks_5,gmd_17Networks_5zReHo_17Networks_5zfALFF_17Networks_5zDCwei_17Networks_5zDCbin_17Networks_5zALFF_17Networks_5,-0.011632033892721,0.100923944008155,0.077248401667863,0.040037382305271,0.016305313258961,-0.055846854930391,0.167036152417138
17Networks_4,gmd_17Networks_4zReHo_17Networks_4zfALFF_17Networks_4zDCwei_17Networks_4zDCbin_17Networks_4zALFF_17Networks_4,0.024734461852724,0.01724500563435,0.00941094806635,-0.007055053282501,0.014680656433078,-0.087115940051564,-0.028099921347563
