,gmd_sws_rs_fdr,gmd_sws_rs_p,gmd_sws_rs_r,parc_name,parcel_name,sws_rs,zALFF_sws_rs_fdr,zALFF_sws_rs_p,zALFF_sws_rs_r,zDCbin_sws_rs_fdr,zDCbin_sws_rs_p,zDCbin_sws_rs_r,zDCwei_sws_rs_fdr,zDCwei_sws_rs_p,zDCwei_sws_rs_r,zReHo_sws_rs_fdr,zReHo_sws_rs_p,zReHo_sws_rs_r,zfALFF_sws_rs_bonferroni,zfALFF_sws_rs_fdr,zfALFF_sws_rs_p,zfALFF_sws_rs_r
0,,0.071966429880497,0.166971039593636,17Networks_17,gmd_17Networks_17zReHo_17Networks_17zfALFF_17Networks_17zDCwei_17Networks_17zDCbin_17Networks_17zALFF_17Networks_17,0.083021299654781,,0.259976379855354,-0.104979132094043,,0.588195897480808,0.050568167669255,,0.563895704960429,0.053889459377819,,0.300646609196004,-0.096502767227468,,,0.888730897712716,0.013074532335582
1,,0.201670540467344,0.118898171464724,17Networks_16,gmd_17Networks_16zReHo_17Networks_16zfALFF_17Networks_16zDCwei_17Networks_16zDCbin_17Networks_16zALFF_17Networks_16,0.350606635588347,,0.620198582543459,-0.046287768964959,,0.397303522983047,0.078979676200225,,0.346826156052477,0.087747808852517,,0.905764425022734,0.011062930005964,,,0.282391480597959,0.100205818029876
2,,0.665408989041717,0.040398115095093,17Networks_15,gmd_17Networks_15zReHo_17Networks_15zfALFF_17Networks_15zDCwei_17Networks_15zDCbin_17Networks_15zALFF_17Networks_15,0.760371514488679,,0.626217005269941,-0.045493681128081,,0.075194972040485,0.165135587239864,,0.05593216764889,0.17722533331251,0.01752400297832,0.00495201750358,0.258150290376737,,,0.075517268614959,0.164955869592556
3,,0.635988701098531,-0.0442112300209,17Networks_14,gmd_17Networks_14zReHo_17Networks_14zfALFF_17Networks_14zDCwei_17Networks_14zDCbin_17Networks_14zALFF_17Networks_14,0.286224897801236,,0.974231585723629,-0.003018681870814,,0.291427491232261,0.098353629222473,,0.213208741425496,0.115937193599636,,0.569029313323794,0.053182317358411,,,0.479685250242734,0.06598166951243
4,,0.212942228013109,0.116004278592806,17Networks_13,gmd_17Networks_13zReHo_17Networks_13zfALFF_17Networks_13zDCwei_17Networks_13zDCbin_17Networks_13zALFF_17Networks_13,0.337104811071286,,0.966107755731892,-0.003970858445594,,0.595933010047872,0.04952400064975,,0.617467008854376,0.046649270571717,,0.559958997927733,0.054433805514248,,,0.424919555034699,0.074464314188359
5,,0.470422629830696,0.06737717700318,17Networks_12,gmd_17Networks_12zReHo_17Networks_12zfALFF_17Networks_12zDCwei_17Networks_12zDCbin_17Networks_12zALFF_17Networks_12,0.014639299413897,,0.241585520671023,-0.109109946274479,,0.780471969696205,0.026041424098875,,0.844038687984406,0.018383553374526,,0.878422869782859,-0.014294727402363,,,0.778825869527661,0.026241818614158
6,,0.346931153856834,-0.087728778051162,17Networks_11,gmd_17Networks_11zReHo_17Networks_11zfALFF_17Networks_11zDCwei_17Networks_11zDCbin_17Networks_11zALFF_17Networks_11,0.856106641954868,,0.892488625487041,-0.012630275209443,0.028364375431148,0.012533970819854,0.230186931626695,0.024345739320034,0.0086413486662,0.241750519256776,0.016879792296413,0.004570528375644,0.260429733913042,,0.029929561754879,0.01514273236631,0.22409851041896
7,,0.385913615634267,-0.080896038419835,17Networks_10,gmd_17Networks_10zReHo_17Networks_10zfALFF_17Networks_10zDCwei_17Networks_10zDCbin_17Networks_10zALFF_17Networks_10,0.305616390707258,,0.743741318920169,-0.030543062141518,,0.387514237148304,0.080624701863856,,0.330641508300901,0.090725921285468,,0.154750411791993,0.132393465899133,,,0.223827698560341,0.113311402220154
8,,0.501082730942585,-0.062812123594724,17Networks_9,gmd_17Networks_9zReHo_17Networks_9zfALFF_17Networks_9zDCwei_17Networks_9zDCbin_17Networks_9zALFF_17Networks_9,0.836922019527208,,0.775101874880113,-0.026695615470951,0.034696386799194,0.021527347818828,0.212356360422476,0.026202266369916,0.010544841575779,0.235625566122042,0.024345739320034,0.009124067877014,0.240092597227665,,0.024831920987231,0.009655255440373,0.2383552348207
9,,0.345490886878338,0.087990142199428,17Networks_8,gmd_17Networks_8zReHo_17Networks_8zfALFF_17Networks_8zDCwei_17Networks_8zDCbin_17Networks_8zALFF_17Networks_8,0.553040855744237,,0.569502058841004,-0.053117349712075,,0.456245627394425,0.069542467562629,,0.349653254859287,0.087236654883887,,0.05893417563154,0.175137196854084,,0.048707177961764,0.044365638578078,0.186251743956284
10,,0.834703285332336,-0.019499377627008,17Networks_7,gmd_17Networks_7zReHo_17Networks_7zfALFF_17Networks_7zDCwei_17Networks_7zDCbin_17Networks_7zALFF_17Networks_7,0.538687959978717,,0.675887537912695,-0.039056226745888,,0.222818421274792,0.113557126706792,,0.184442483184236,0.123555553284333,0.03974501423636,0.028004948492697,0.203190373938492,,,0.091059820370417,0.156940510421996
11,,0.89205799020645,-0.012681172560552,17Networks_6,gmd_17Networks_6zReHo_17Networks_6zfALFF_17Networks_6zDCwei_17Networks_6zDCbin_17Networks_6zALFF_17Networks_6,0.203884716156494,,0.363411203447028,-0.084785265145998,,0.50458951970711,0.062299528012256,,0.439186393763871,0.072198138695298,,0.304763398105574,0.095688333739405,,,0.445778623212819,0.071165153416085
12,,0.303396080629658,0.095958028096237,17Networks_5,gmd_17Networks_5zReHo_17Networks_5zfALFF_17Networks_5zDCwei_17Networks_5zDCbin_17Networks_5zALFF_17Networks_5,0.777717048961525,,0.4050874640888,-0.077688787682778,,0.055078739052969,0.177835747340654,0.049274538265003,0.048971310337219,0.182447528588577,0.043626187260898,0.03503518423106,0.195098077306066,,0.03960872394604,0.027321417589647,0.204066455312769
13,,0.236407985078271,-0.110311978737895,17Networks_4,gmd_17Networks_4zReHo_17Networks_4zfALFF_17Networks_4zDCwei_17Networks_4zDCbin_17Networks_4zALFF_17Networks_4,0.32448353976523,,0.39514701391547,-0.079339964291461,,0.355670863422273,0.086157187074504,,0.353143249442756,0.086609203021395,,0.071527028590878,0.16722595781427,,,0.060408983848961,0.174143134884417
14,,0.557608756775747,-0.054759656313732,17Networks_3,gmd_17Networks_3zReHo_17Networks_3zfALFF_17Networks_3zDCwei_17Networks_3zDCbin_17Networks_3zALFF_17Networks_3,0.347420838273537,,0.565451708308413,-0.053674802842886,,0.474333762008311,0.066786125595546,,0.381796383940459,0.081597123580116,,0.125141973916347,0.142581609423338,,,0.0756348847831,0.164890438831155
15,,0.360650860428134,-0.085272420479285,17Networks_2,gmd_17Networks_2zReHo_17Networks_2zfALFF_17Networks_2zDCwei_17Networks_2zDCbin_17Networks_2zALFF_17Networks_2,0.40360791228606,,0.076299154473079,-0.164522431081356,,0.414416466960275,0.076160789372476,,0.209194660812666,0.11695399572016,0.023079353970657,0.007740460254774,0.245076275616286,,0.033329861043242,0.019792809788756,0.215211703137779
