,gmd_sws_rw_fdr,gmd_sws_rw_p,gmd_sws_rw_r,parc_name,parcel_name,sws_rw,zALFF_sws_rw_fdr,zALFF_sws_rw_p,zALFF_sws_rw_r,zDCbin_sws_rw_bonferroni,zDCbin_sws_rw_fdr,zDCbin_sws_rw_p,zDCbin_sws_rw_r,zDCwei_sws_rw_fdr,zDCwei_sws_rw_p,zDCwei_sws_rw_r,zReHo_sws_rw_fdr,zReHo_sws_rw_p,zReHo_sws_rw_r,zfALFF_sws_rw_fdr,zfALFF_sws_rw_p,zfALFF_sws_rw_r
0,0.04886359020199,0.046038684965754,0.184833445651636,17Networks_17,gmd_17Networks_17zReHo_17Networks_17zfALFF_17Networks_17zDCwei_17Networks_17zDCbin_17Networks_17zALFF_17Networks_17,0.144965004796187,0.041528184780944,0.013542883072193,-0.227711865737946,,,0.300091682569387,0.09661310873991,,0.302529946923052,0.096129279861348,,0.864975392800259,-0.015890205664656,,0.906372290973821,0.010991241945895
1,,0.285506012016285,0.099563002156578,17Networks_16,gmd_17Networks_16zReHo_17Networks_16zfALFF_17Networks_16zDCwei_17Networks_16zDCbin_17Networks_16zALFF_17Networks_16,0.286906180470495,,0.101982621066033,-0.151937304212786,,,0.541400615314341,0.057025186539498,,0.623623932596933,0.045835416989145,,0.140881978701622,0.136962127939679,,0.286018143008583,0.099457751058381
2,,0.956342824214252,0.005115932366747,17Networks_15,gmd_17Networks_15zReHo_17Networks_15zfALFF_17Networks_15zDCwei_17Networks_15zDCbin_17Networks_15zALFF_17Networks_15,0.553304602313108,,0.261794801946874,-0.104581723988391,,,0.165558848479389,0.129041528399087,,0.241696757662475,0.109084318683022,0.041528184780944,0.023071213767191,0.209976647753777,0.043513898027707,0.0268604308813,0.204667899098866
3,,0.562482798446364,-0.054084619212174,17Networks_14,gmd_17Networks_14zReHo_17Networks_14zfALFF_17Networks_14zDCwei_17Networks_14zDCbin_17Networks_14zALFF_17Networks_14,0.140434378810083,,0.189209448583036,-0.12223631335266,,,0.551496190516771,0.055610245987839,,0.641817319542499,0.043450190789554,,0.206115090961462,0.117743571821672,,0.283621912591029,0.099951302775852
4,,0.113960083888086,0.146913605471129,17Networks_13,gmd_17Networks_13zReHo_17Networks_13zfALFF_17Networks_13zDCwei_17Networks_13zDCbin_17Networks_13zALFF_17Networks_13,0.346224368050471,,0.186310072362398,-0.123035776127926,,,0.485384338015002,0.06513025497949,,0.54373377758887,0.056697043271529,,0.13047451518005,0.140620155543905,,0.521179883102454,0.059899084912344
5,,0.166467777850593,0.128767158752645,17Networks_12,gmd_17Networks_12zReHo_17Networks_12zfALFF_17Networks_12zDCwei_17Networks_12zDCbin_17Networks_12zALFF_17Networks_12,0.08976199155209,,0.152874075970733,-0.132993064152707,,,0.689069417649886,0.037379342272002,,0.929114040350543,0.008313432151298,,0.78659939440217,0.025296508211937,,0.805581857181078,0.022998614316915
6,,0.123492170587775,-0.143201451412647,17Networks_11,gmd_17Networks_11zReHo_17Networks_11zfALFF_17Networks_11zDCwei_17Networks_11zDCbin_17Networks_11zALFF_17Networks_11,0.45069022608161,,0.492218137531864,-0.064116328646441,,,0.060477849827393,0.174097204693114,,0.086377229707208,0.159232121115357,0.04886359020199,0.047506118275918,0.183624296469203,,0.129279249756079,0.141054383863024
7,,0.699197731388603,-0.0360989661909,17Networks_10,gmd_17Networks_10zReHo_17Networks_10zfALFF_17Networks_10zDCwei_17Networks_10zDCbin_17Networks_10zALFF_17Networks_10,0.188434479172844,,0.415317760499301,-0.076014237901095,,,0.577126478990235,0.052073026611219,,0.631310065278981,0.044824218893746,,0.242646729210115,0.108865790212118,,0.30937435434394,0.094784647547756
8,,0.546567034979451,-0.056299492945466,17Networks_9,gmd_17Networks_9zReHo_17Networks_9zfALFF_17Networks_9zDCwei_17Networks_9zDCbin_17Networks_9zALFF_17Networks_9,0.834974100556784,,0.502706954406611,-0.062574475160469,,0.035375515465177,0.003696931458084,0.266369148793944,0.037709810484066,0.007914404669495,0.244408401299163,0.041528184780944,0.016364031989546,0.221557262808157,0.041528184780944,0.016385912478292,0.221513255761455
9,,0.387932091384859,0.080553978507641,17Networks_8,gmd_17Networks_8zReHo_17Networks_8zfALFF_17Networks_8zDCwei_17Networks_8zDCbin_17Networks_8zALFF_17Networks_8,0.531838952677931,,0.851510589938797,0.017492334043416,,,0.208847343202159,0.11704262721165,,0.289640371035464,0.098716886004585,,0.273922125055663,0.10197820857614,,0.212741205123674,0.116054918334499
