parc_name,parcel_name,zALFF_sws_gb_p,zDCbin_sws_gb_p,zDCwei_sws_gb_p,zfALFF_sws_gb_p,zReHo_sws_gb_p,gmd_sws_gb_p,sws_gb
17Networks_17,gmd_17Networks_17zReHo_17Networks_17zfALFF_17Networks_17zDCwei_17Networks_17zDCbin_17Networks_17zALFF_17Networks_17,0.366093759876883,0.819455317794085,0.76499752017749,0.949607912953861,0.419654512742982,0.582125832565323,3.90193485611062
17Networks_16,gmd_17Networks_16zReHo_17Networks_16zfALFF_17Networks_16zDCwei_17Networks_16zDCbin_17Networks_16zALFF_17Networks_16,0.544755938796412,0.639458452729229,0.6808160513172,0.695803154282871,0.979621160837102,0.703188083156657,4.24364284111947
17Networks_15,gmd_17Networks_15zReHo_17Networks_15zfALFF_17Networks_15zDCwei_17Networks_15zDCbin_17Networks_15zALFF_17Networks_15,0.49205208861701,0.427861048176899,0.509472669808924,0.250155487467236,0.478609911625455,0.77310886034846,2.93126006604398
17Networks_14,gmd_17Networks_14zReHo_17Networks_14zfALFF_17Networks_14zDCwei_17Networks_14zDCbin_17Networks_14zALFF_17Networks_14,0.535261418741301,0.879664286143785,0.889848250054702,0.941451655756233,0.920432884572349,0.410975041796718,4.57763353706509
17Networks_13,gmd_17Networks_13zReHo_17Networks_13zfALFF_17Networks_13zDCwei_17Networks_13zDCbin_17Networks_13zALFF_17Networks_13,0.464271491301824,0.797317909469561,0.753310536504801,0.542369361716106,0.924851021322467,0.968948050123194,4.45106837043795
17Networks_12,gmd_17Networks_12zReHo_17Networks_12zfALFF_17Networks_12zDCwei_17Networks_12zDCbin_17Networks_12zALFF_17Networks_12,0.966781959813895,0.766790327235419,0.732797696748544,0.907320314165723,0.598790348521962,0.400736163592286,4.37321681007783
17Networks_11,gmd_17Networks_11zReHo_17Networks_11zfALFF_17Networks_11zDCwei_17Networks_11zDCbin_17Networks_11zALFF_17Networks_11,0.41722862805173,0.548377540605043,0.591967405579546,0.868054836463195,0.820173478518268,0.943882350006221,4.189684239224
17Networks_10,gmd_17Networks_10zReHo_17Networks_10zfALFF_17Networks_10zDCwei_17Networks_10zDCbin_17Networks_10zALFF_17Networks_10,0.278140449163524,0.881421583597044,0.960812021056936,0.497264142936081,0.951864268780956,0.967657881085982,4.53716034662052
17Networks_9,gmd_17Networks_9zReHo_17Networks_9zfALFF_17Networks_9zDCwei_17Networks_9zDCbin_17Networks_9zALFF_17Networks_9,0.22940158851775,0.116567072051179,0.194229809812364,0.850524781566106,0.583019670019,0.85200335344353,2.82574627540993
17Networks_8,gmd_17Networks_8zReHo_17Networks_8zfALFF_17Networks_8zDCwei_17Networks_8zDCbin_17Networks_8zALFF_17Networks_8,0.557271742239133,0.784985040359339,0.779418798148947,0.480737422631603,0.737238923611584,0.537022752650077,3.87667467964068
17Networks_7,gmd_17Networks_7zReHo_17Networks_7zfALFF_17Networks_7zDCwei_17Networks_7zDCbin_17Networks_7zALFF_17Networks_7,0.991711031002835,0.676224341009003,0.709589362891393,0.631522135388998,0.938189877665179,0.396266652749008,4.34350340070642
17Networks_6,gmd_17Networks_6zReHo_17Networks_6zfALFF_17Networks_6zDCwei_17Networks_6zDCbin_17Networks_6zALFF_17Networks_6,0.869753183289888,0.917325824672684,0.954233223161124,0.754711823955395,0.83260363589701,0.765581976454073,5.09420966743017
17Networks_5,gmd_17Networks_5zReHo_17Networks_5zfALFF_17Networks_5zDCwei_17Networks_5zDCbin_17Networks_5zALFF_17Networks_5,0.900940772970742,0.278939042424816,0.407763394630938,0.668219655539206,0.861482817675294,0.549801651651163,3.66714733489216
17Networks_4,gmd_17Networks_4zReHo_17Networks_4zfALFF_17Networks_4zDCwei_17Networks_4zDCbin_17Networks_4zALFF_17Networks_4,0.791231266709383,0.85358653260567,0.919785234877151,0.939821936337174,0.87516674378459,0.350323007517591,4.72991472183156
17Networks_3,gmd_17Networks_3zReHo_17Networks_3zfALFF_17Networks_3zDCwei_17Networks_3zDCbin_17Networks_3zALFF_17Networks_3,0.926750276507132,0.433840234704623,0.507495519097378,0.936147735352547,0.912362448272206,0.541899059280208,4.25849527321409
17Networks_2,gmd_17Networks_2zReHo_17Networks_2zfALFF_17Networks_2zDCwei_17Networks_2zDCbin_17Networks_2zALFF_17Networks_2,0.697505276809242,0.767342239243795,0.743030171007309,0.373587417875948,0.803773396934177,0.262484369034479,3.64772287090495
17Networks_1,gmd_17Networks_1zReHo_17Networks_1zfALFF_17Networks_1zDCwei_17Networks_1zDCbin_17Networks_1zALFF_17Networks_1,0.628365090383639,0.181205157715911,0.181274228338984,0.719208722814734,0.924932804914261,0.720432420257348,3.35541842442488
lPFtha_R,zReHo_lPFtha_Rgmd_lPFtha_RzfALFF_lPFtha_RzALFF_lPFtha_RzDCwei_lPFtha_RzDCbin_lPFtha_R,0.918216925381951,0.115207075702995,0.079955797912293,0.585131031866886,0.231914136902832,0.083955909598774,2.01438087736573
lPFtha_L,zReHo_lPFtha_Lgmd_lPFtha_LzfALFF_lPFtha_LzALFF_lPFtha_LzDCwei_lPFtha_LzDCbin_lPFtha_L,0.759296197692694,0.130028915921939,0.100076253329918,0.362868106748658,0.463232964038303,0.228571417441613,2.04407385517313
cTtha_R,zReHo_cTtha_Rgmd_cTtha_RzfALFF_cTtha_RzALFF_cTtha_RzDCwei_cTtha_RzDCbin_cTtha_R,0.579688356505052,0.909449424062114,0.799960789939332,0.882706869122074,0.994845643843801,0.016882896888764,4.18353398036114
cTtha_L,zReHo_cTtha_Lgmd_cTtha_LzfALFF_cTtha_LzALFF_cTtha_LzDCwei_cTtha_LzDCbin_cTtha_L,0.968121062376664,0.231730932092511,0.274629222364675,0.332353025360866,0.430247323430463,0.312553474610993,2.54963504023617
Otha_R,zReHo_Otha_Rgmd_Otha_RzfALFF_Otha_RzALFF_Otha_RzDCwei_Otha_RzDCbin_Otha_R,0.779612584099251,0.303975463132474,0.368335348917391,0.977516006002601,0.448275441519715,0.385114814772822,3.26282965844425
Otha_L,zReHo_Otha_Lgmd_Otha_LzfALFF_Otha_LzALFF_Otha_LzDCwei_Otha_LzDCbin_Otha_L,0.930336661989613,0.059808685220005,0.05781424843491,0.061979626619959,0.063753298936046,0.861531672098159,2.03522419329869
PPtha_R,zReHo_PPtha_Rgmd_PPtha_RzfALFF_PPtha_RzALFF_PPtha_RzDCwei_PPtha_RzDCbin_PPtha_R,0.717093894293929,0.067075208196084,0.057454804977998,0.230534832374076,0.281216369362593,0.852106947378495,2.20548205658317
PPtha_L,zReHo_PPtha_Lgmd_PPtha_LzfALFF_PPtha_LzALFF_PPtha_LzDCwei_PPtha_LzDCbin_PPtha_L,0.799773993966463,0.110394208531433,0.113470178114988,0.515667493276115,0.137441829828565,0.79097193065695,2.46771963437451
rTtha_R,zReHo_rTtha_Rgmd_rTtha_RzfALFF_rTtha_RzALFF_rTtha_RzDCwei_rTtha_RzDCbin_rTtha_R,0.916354924540026,0.164542317661099,0.177998999162488,0.07266023924951,0.124105768459143,0.829476678757777,2.28513892783004
rTtha_L,zReHo_rTtha_Lgmd_rTtha_LzfALFF_rTtha_LzALFF_rTtha_LzDCwei_rTtha_LzDCbin_rTtha_L,0.966120791501934,0.684816041649923,0.722105751178468,0.075300915398552,0.236882640263837,0.701696858944482,3.3869229989372
Stha_R,zReHo_Stha_Rgmd_Stha_RzfALFF_Stha_RzALFF_Stha_RzDCwei_Stha_RzDCbin_Stha_R,0.915007349496715,0.153524537599826,0.1640916995364,0.223009350435153,0.345505293986858,0.755302457083743,2.55644068813869
Stha_L,zReHo_Stha_Lgmd_Stha_LzfALFF_Stha_LzALFF_Stha_LzDCwei_Stha_LzDCbin_Stha_L,0.987773447167163,0.21916791134595,0.191978119166322,0.231393919861434,0.252727058538199,0.60457970011035,2.48762015618942
mPMtha_R,zReHo_mPMtha_Rgmd_mPMtha_RzfALFF_mPMtha_RzALFF_mPMtha_RzDCwei_mPMtha_RzDCbin_mPMtha_R,0.831656675869358,0.15908739122581,0.13762071486053,0.30768807559262,0.419958750481781,0.916270916020498,2.7722825240506
mPMtha_L,zReHo_mPMtha_Lgmd_mPMtha_LzfALFF_mPMtha_LzALFF_mPMtha_LzDCwei_mPMtha_LzDCbin_mPMtha_L,0.950447631065661,0.407642135614547,0.427902804412881,0.241749569050961,0.413208127400723,0.770668504269583,3.21161877181436
mPFtha_R,zReHo_mPFtha_Rgmd_mPFtha_RzfALFF_mPFtha_RzALFF_mPFtha_RzDCwei_mPFtha_RzDCbin_mPFtha_R,0.731677868032783,0.589627753775005,0.590170090832834,0.940829848574951,0.339029928391662,0.491009316567373,3.68234480617461
mPFtha_L,zReHo_mPFtha_Lgmd_mPFtha_LzfALFF_mPFtha_LzALFF_mPFtha_LzDCwei_mPFtha_LzDCbin_mPFtha_L,0.744305816291663,0.996012385152773,0.910725102766841,0.508757681416979,0.786176374023031,0.395087802406965,4.34106516205825
dlPu_R,zReHo_dlPu_Rgmd_dlPu_RzfALFF_dlPu_RzALFF_dlPu_RzDCwei_dlPu_RzDCbin_dlPu_R,0.20791739884834,0.136816381693291,0.170987405567558,0.579444190679925,0.887244887011997,0.814348683339234,2.79675894714034
dlPu_L,zReHo_dlPu_Lgmd_dlPu_LzfALFF_dlPu_LzALFF_dlPu_LzDCwei_dlPu_LzDCbin_dlPu_L,0.440035162965198,0.579389150680934,0.553500502084681,0.901312465738158,0.588284722834118,0.31735983590765,3.37988184021074
dCa_R,zReHo_dCa_Rgmd_dCa_RzfALFF_dCa_RzALFF_dCa_RzDCwei_dCa_RzDCbin_dCa_R,0.942180025354845,0.301092131636066,0.206224875172821,0.550823646927372,0.949328988117684,0.1231717271778,3.07282139438659
dCa_L,zReHo_dCa_Lgmd_dCa_LzfALFF_dCa_LzALFF_dCa_LzDCwei_dCa_LzDCbin_dCa_L,0.96833642177643,0.863659890467434,0.919097868744775,0.870844244558945,0.538711491329019,0.157676305026875,4.31832622190348
vmPu_R,zReHo_vmPu_Rgmd_vmPu_RzfALFF_vmPu_RzALFF_vmPu_RzDCwei_vmPu_RzDCbin_vmPu_R,0.344464157327677,0.535677489595226,0.599994662261711,0.941594555710851,0.681664009292374,0.315865806014921,3.41926068020276
vmPu_L,zReHo_vmPu_Lgmd_vmPu_LzfALFF_vmPu_LzALFF_vmPu_LzDCwei_vmPu_LzDCbin_vmPu_L,0.160142539357615,0.863134380938842,0.759557440343421,0.24769235833029,0.813450792394883,0.898895332279361,3.74287284364441
