,gmd_sws_fa_fdr,gmd_sws_fa_p,gmd_sws_fa_r,parc_name,parcel_name,sws_fa,zALFF_sws_fa_fdr,zALFF_sws_fa_p,zALFF_sws_fa_r,zDCbin_sws_fa_fdr,zDCbin_sws_fa_p,zDCbin_sws_fa_r,zDCwei_sws_fa_fdr,zDCwei_sws_fa_p,zDCwei_sws_fa_r,zReHo_sws_fa_fdr,zReHo_sws_fa_p,zReHo_sws_fa_r,zfALFF_sws_fa_bonferroni,zfALFF_sws_fa_fdr,zfALFF_sws_fa_p,zfALFF_sws_fa_r
356,,0.46597333131081,0.068052822405748,17Networks_LH_SalVentAttnA_ParMed_3,zReHo_17Networks_LH_SalVentAttnA_ParMed_3gmd_17Networks_LH_SalVentAttnA_ParMed_3zfALFF_17Networks_LH_SalVentAttnA_ParMed_3zALFF_17Networks_LH_SalVentAttnA_ParMed_3zDCwei_17Networks_LH_SalVentAttnA_ParMed_3zDCbin_17Networks_LH_SalVentAttnA_ParMed_3,0.296238851760354,,0.660454839946909,-0.041035407101469,,0.530719390928762,0.058536442675615,,0.313220292218992,0.094037591438475,,0.616458858756056,0.046782865382706,,,0.454157362220716,0.069864536959279
357,,0.89282504332652,0.012590516115213,17Networks_LH_SalVentAttnA_ParMed_2,zReHo_17Networks_LH_SalVentAttnA_ParMed_2gmd_17Networks_LH_SalVentAttnA_ParMed_2zfALFF_17Networks_LH_SalVentAttnA_ParMed_2zALFF_17Networks_LH_SalVentAttnA_ParMed_2zDCwei_17Networks_LH_SalVentAttnA_ParMed_2zDCbin_17Networks_LH_SalVentAttnA_ParMed_2,-0.129563083506023,,0.266661657173868,0.103527266400556,,0.476626686128303,-0.066440847145685,,0.741214655915391,-0.030855194428247,,0.461105377479553,-0.068796106508649,,,0.393662179231458,-0.079588717939211
358,,0.115175899961014,0.146427040403267,17Networks_LH_SalVentAttnA_ParMed_1,zReHo_17Networks_LH_SalVentAttnA_ParMed_1gmd_17Networks_LH_SalVentAttnA_ParMed_1zfALFF_17Networks_LH_SalVentAttnA_ParMed_1zALFF_17Networks_LH_SalVentAttnA_ParMed_1zDCwei_17Networks_LH_SalVentAttnA_ParMed_1zDCbin_17Networks_LH_SalVentAttnA_ParMed_1,-0.113502010768327,,0.622689098758374,0.04595876543515,,0.217533662100078,-0.11485680042459,,0.147714965296556,-0.134670710751471,,0.468747435648829,-0.067631151019661,,,0.904001751791465,0.011270845588978
359,,0.562399993103605,0.05409606406142,17Networks_LH_SalVentAttnA_FrOper_2,zReHo_17Networks_LH_SalVentAttnA_FrOper_2gmd_17Networks_LH_SalVentAttnA_FrOper_2zfALFF_17Networks_LH_SalVentAttnA_FrOper_2zALFF_17Networks_LH_SalVentAttnA_FrOper_2zDCwei_17Networks_LH_SalVentAttnA_FrOper_2zDCbin_17Networks_LH_SalVentAttnA_FrOper_2,0.26501812380588,,0.390978614532532,0.080039721190755,,0.509766854948864,0.06154611878663,,0.441160867967864,0.071887830415843,,0.773436158441748,-0.026898796353494,,,0.794427092112065,0.024347185704726
360,,0.750264249554704,0.029738793656614,17Networks_LH_SalVentAttnA_FrOper_1,zReHo_17Networks_LH_SalVentAttnA_FrOper_1gmd_17Networks_LH_SalVentAttnA_FrOper_1zfALFF_17Networks_LH_SalVentAttnA_FrOper_1zALFF_17Networks_LH_SalVentAttnA_FrOper_1zDCwei_17Networks_LH_SalVentAttnA_FrOper_1zDCbin_17Networks_LH_SalVentAttnA_FrOper_1,0.41522738593053,,0.241810019345936,0.109058233043763,,0.332827848198624,0.090318288844373,,0.303603020608646,0.095917159450405,,0.855685374117864,0.016995070204569,,,0.432846912221262,0.073199840730806
361,,0.124713647442868,0.14274192706626,17Networks_LH_SalVentAttnA_Ins_4,zReHo_17Networks_LH_SalVentAttnA_Ins_4gmd_17Networks_LH_SalVentAttnA_Ins_4zfALFF_17Networks_LH_SalVentAttnA_Ins_4zALFF_17Networks_LH_SalVentAttnA_Ins_4zDCwei_17Networks_LH_SalVentAttnA_Ins_4zDCbin_17Networks_LH_SalVentAttnA_Ins_4,0.544392629749398,,0.124892412912095,0.142674965787261,,0.097683338221782,0.153853616984313,,0.066771948779506,0.170069049114132,,0.598610355683461,-0.04916410406547,,,0.865879283028407,-0.015782825137098
362,,0.10770708913647,0.149481860679472,17Networks_LH_SalVentAttnA_Ins_3,zReHo_17Networks_LH_SalVentAttnA_Ins_3gmd_17Networks_LH_SalVentAttnA_Ins_3zfALFF_17Networks_LH_SalVentAttnA_Ins_3zALFF_17Networks_LH_SalVentAttnA_Ins_3zDCwei_17Networks_LH_SalVentAttnA_Ins_3zDCbin_17Networks_LH_SalVentAttnA_Ins_3,0.65719408724007,,0.076270811405628,0.164538080457597,,0.179957419849981,0.124819716727942,,0.166097950198697,0.128878660515779,,0.952496764892613,-0.005567135010662,,,0.308052012438343,0.095042903869942
363,,0.985840810867761,0.001658502021949,17Networks_LH_SalVentAttnA_Ins_2,zReHo_17Networks_LH_SalVentAttnA_Ins_2gmd_17Networks_LH_SalVentAttnA_Ins_2zfALFF_17Networks_LH_SalVentAttnA_Ins_2zALFF_17Networks_LH_SalVentAttnA_Ins_2zDCwei_17Networks_LH_SalVentAttnA_Ins_2zDCbin_17Networks_LH_SalVentAttnA_Ins_2,-0.112804834852214,0.046627145733428,0.033883077806077,-0.196324020368058,,0.537971599764219,0.057508722090459,,0.583225814972595,0.051242210098282,,0.38522480328021,-0.081013014227937,,,0.562206826211158,0.054122765533091
364,,0.785453037342079,0.025435749702454,17Networks_LH_SalVentAttnA_Ins_1,zReHo_17Networks_LH_SalVentAttnA_Ins_1gmd_17Networks_LH_SalVentAttnA_Ins_1zfALFF_17Networks_LH_SalVentAttnA_Ins_1zALFF_17Networks_LH_SalVentAttnA_Ins_1zDCwei_17Networks_LH_SalVentAttnA_Ins_1zDCbin_17Networks_LH_SalVentAttnA_Ins_1,0.863751629766278,,0.990168669811817,-0.001151537944382,0.043293561030985,0.021326148146592,0.212677200962012,0.045724255434477,0.026483074277705,0.205166813906093,,0.176142045500295,0.125913435650339,,0.016999704441033,0.001208100823221,0.295709967489762
365,,0.395286475210213,0.079316629089481,17Networks_LH_SalVentAttnA_ParOper_3,zReHo_17Networks_LH_SalVentAttnA_ParOper_3gmd_17Networks_LH_SalVentAttnA_ParOper_3zfALFF_17Networks_LH_SalVentAttnA_ParOper_3zALFF_17Networks_LH_SalVentAttnA_ParOper_3zDCwei_17Networks_LH_SalVentAttnA_ParOper_3zDCbin_17Networks_LH_SalVentAttnA_ParOper_3,-0.038351064936033,,0.964515741808835,0.004157499578776,,0.205323846194007,-0.117947803616183,,0.175755712068605,-0.126025150131399,,0.345935906675149,0.087909311792886,,,0.714009425503974,0.034238448350406
