parc_name,parcel_name,zfALFF_sws_fa_bonferroni,zALFF_sws_fa_bonferroni,sws_fa
17Networks_1,zALFF_17Networks_1,,0.000748216585163,0.000748216585163
17Networks_RH_SomMotA_1,zfALFF_17Networks_RH_SomMotA_1,0.034375659500993,,0.034375659500993
17Networks_LH_LimbicA_TempPole_6,zfALFF_17Networks_LH_LimbicA_TempPole_6,0.034940594083608,,0.034940594083608
