,gmd_sws_gb_fdr,gmd_sws_gb_p,gmd_sws_gb_r,parc_name,parcel_name,sws_gb,zALFF_sws_gb_fdr,zALFF_sws_gb_p,zALFF_sws_gb_r,zDCbin_sws_gb_fdr,zDCbin_sws_gb_p,zDCbin_sws_gb_r,zDCwei_sws_gb_fdr,zDCwei_sws_gb_p,zDCwei_sws_gb_r,zReHo_sws_gb_fdr,zReHo_sws_gb_p,zReHo_sws_gb_r,zfALFF_sws_gb_fdr,zfALFF_sws_gb_p,zfALFF_sws_gb_r
122,,0.87046225665248,-0.01523868954336,17Networks_RH_ContA_PFCl_2,zReHo_17Networks_RH_ContA_PFCl_2gmd_17Networks_RH_ContA_PFCl_2zfALFF_17Networks_RH_ContA_PFCl_2zALFF_17Networks_RH_ContA_PFCl_2zDCwei_17Networks_RH_ContA_PFCl_2zDCbin_17Networks_RH_ContA_PFCl_2,-0.0052477872979,,0.348760982520201,0.087397701443799,,0.908025219193986,-0.010796337671106,,0.811237099897154,0.022316735186971,,0.454073224083411,-0.069877530669726,,0.83846305248083,-0.019049666044478
123,,0.771841893444764,0.027093379392344,17Networks_RH_ContA_PFCl_1,zReHo_17Networks_RH_ContA_PFCl_1gmd_17Networks_RH_ContA_PFCl_1zfALFF_17Networks_RH_ContA_PFCl_1zALFF_17Networks_RH_ContA_PFCl_1zDCwei_17Networks_RH_ContA_PFCl_1zDCbin_17Networks_RH_ContA_PFCl_1,-0.153796225791132,,0.614336405495713,-0.047064431653166,,0.789402257440776,0.024956293093762,,0.779092049107431,0.026209406136346,,0.550117634040329,-0.055802707375377,,0.165074584451376,-0.129188165385041
124,,0.479649015966489,0.065987100056614,17Networks_RH_ContA_PFCd_1,zReHo_17Networks_RH_ContA_PFCd_1gmd_17Networks_RH_ContA_PFCd_1zfALFF_17Networks_RH_ContA_PFCd_1zALFF_17Networks_RH_ContA_PFCd_1zDCwei_17Networks_RH_ContA_PFCd_1zDCbin_17Networks_RH_ContA_PFCd_1,0.025965547241457,,0.894724720480348,0.012366047298044,,0.999223585474245,9.09387215469693e-05,,0.839700114761096,0.018901794776828,,0.904125831609384,-0.011256208002033,,0.519612855325865,-0.060124125609543
125,,0.498853040378805,0.063139018158041,17Networks_RH_ContA_IPS_4,zReHo_17Networks_RH_ContA_IPS_4gmd_17Networks_RH_ContA_IPS_4zfALFF_17Networks_RH_ContA_IPS_4zALFF_17Networks_RH_ContA_IPS_4zDCwei_17Networks_RH_ContA_IPS_4zDCbin_17Networks_RH_ContA_IPS_4,-0.16769009028532,,0.885967368751508,-0.013401436020208,,0.794248222481687,-0.024368850498372,,0.986110849750384,-0.001626868493094,,0.63497073724764,-0.044344441430541,,0.113527958175114,-0.147087512001146
126,,0.051387736877131,-0.180568978241709,17Networks_RH_ContA_IPS_3,zReHo_17Networks_RH_ContA_IPS_3gmd_17Networks_RH_ContA_IPS_3zfALFF_17Networks_RH_ContA_IPS_3zALFF_17Networks_RH_ContA_IPS_3zDCwei_17Networks_RH_ContA_IPS_3zDCbin_17Networks_RH_ContA_IPS_3,-0.389758175962058,,0.428345009743499,-0.073916281156046,,0.714385604601555,-0.034191373185454,,0.782814773875836,-0.025756417108321,,0.305488523688347,0.095545629081597,,0.065478545941765,-0.170870755352125
127,,0.062913911482162,-0.172499324910828,17Networks_RH_ContA_IPS_2,zReHo_17Networks_RH_ContA_IPS_2gmd_17Networks_RH_ContA_IPS_2zfALFF_17Networks_RH_ContA_IPS_2zALFF_17Networks_RH_ContA_IPS_2zDCwei_17Networks_RH_ContA_IPS_2zDCbin_17Networks_RH_ContA_IPS_2,-0.454149417044736,,0.99129083391756,-0.001020094036317,,0.479904951840322,-0.065948746875209,,0.299212003470216,-0.096788299434277,,0.787068569154562,0.025239536222356,,0.123674894371459,-0.143132488010461
128,,0.670584567250654,-0.039734315928217,17Networks_RH_ContA_IPS_1,zReHo_17Networks_RH_ContA_IPS_1gmd_17Networks_RH_ContA_IPS_1zfALFF_17Networks_RH_ContA_IPS_1zALFF_17Networks_RH_ContA_IPS_1zDCwei_17Networks_RH_ContA_IPS_1zDCbin_17Networks_RH_ContA_IPS_1,-0.377744373440976,,0.455213819056673,-0.069701498904519,,0.329368718637745,-0.090964019669528,,0.264087534721954,-0.10408333116284,,0.183033267713553,0.123950308886422,0.04797148140474,0.033069124704654,-0.197211516662294
129,,0.218842668508482,-0.114532812459709,17Networks_RH_LimbicA_TempPole_6,zReHo_17Networks_RH_LimbicA_TempPole_6gmd_17Networks_RH_LimbicA_TempPole_6zfALFF_17Networks_RH_LimbicA_TempPole_6zALFF_17Networks_RH_LimbicA_TempPole_6zDCwei_17Networks_RH_LimbicA_TempPole_6zDCbin_17Networks_RH_LimbicA_TempPole_6,-0.085951624903317,,0.35816614065251,0.085712911176447,,0.541866442901237,-0.056959615572547,,0.597380917905802,-0.049329278784803,,0.699645782011808,-0.036042481747421,,0.361062355024594,0.085199652484716
130,,0.396967684785386,0.079035707990295,17Networks_RH_LimbicA_TempPole_5,zReHo_17Networks_RH_LimbicA_TempPole_5gmd_17Networks_RH_LimbicA_TempPole_5zfALFF_17Networks_RH_LimbicA_TempPole_5zALFF_17Networks_RH_LimbicA_TempPole_5zDCwei_17Networks_RH_LimbicA_TempPole_5zDCbin_17Networks_RH_LimbicA_TempPole_5,0.042154934878413,,0.678637964899216,0.038705331538415,,0.143558623969467,-0.136054713173463,,0.226252340891329,-0.112724262626251,,0.760059306607744,0.028535129955819,,0.119681997805827,0.144657741193598
131,,0.542452146257541,-0.056877209992288,17Networks_RH_LimbicA_TempPole_4,zReHo_17Networks_RH_LimbicA_TempPole_4gmd_17Networks_RH_LimbicA_TempPole_4zfALFF_17Networks_RH_LimbicA_TempPole_4zALFF_17Networks_RH_LimbicA_TempPole_4zDCwei_17Networks_RH_LimbicA_TempPole_4zDCbin_17Networks_RH_LimbicA_TempPole_4,0.268233701157487,,0.08269296632816,0.161105811903825,,0.580903412629273,0.051558078615003,,0.422550865255597,0.074844767673134,,0.157336232914262,-0.131576010520175,,0.068233334026041,0.169178263477988
