parc_name,parcel_name,zALFF_sws_ms_r,zDCbin_sws_ms_r,zDCwei_sws_ms_r,zfALFF_sws_ms_r,zReHo_sws_ms_r,gmd_sws_ms_r,sws_ms
Otha_L,zReHo_Otha_Lgmd_Otha_LzfALFF_Otha_LzALFF_Otha_LzDCwei_Otha_LzDCbin_Otha_L,0.052020166655567,0.072400081329959,0.094581915224666,0.130144641700759,0.007749964573207,0.103194323174053,0.460091092658211
PPtha_R,zReHo_PPtha_Rgmd_PPtha_RzfALFF_PPtha_RzALFF_PPtha_RzDCwei_PPtha_RzDCbin_PPtha_R,0.119369613696947,0.106807817667064,0.153651756276774,0.221396712967029,0.002181836776156,0.022684829178184,0.626092566562154
PPtha_L,zReHo_PPtha_Lgmd_PPtha_LzfALFF_PPtha_LzALFF_PPtha_LzDCwei_PPtha_LzDCbin_PPtha_L,0.138403716071336,0.102024646846369,0.132801224545072,0.174960721233736,-0.038474182827411,-0.074850353141006,0.434865772728096
rTtha_R,zReHo_rTtha_Rgmd_rTtha_RzfALFF_rTtha_RzALFF_rTtha_RzDCwei_rTtha_RzDCbin_rTtha_R,0.120635349042771,0.129271160437349,0.15056276241067,0.229220481136205,-0.086776668411228,-0.067444541996571,0.475468542619196
rTtha_L,zReHo_rTtha_Lgmd_rTtha_LzfALFF_rTtha_LzALFF_rTtha_LzDCwei_rTtha_LzDCbin_rTtha_L,0.074095289657569,0.096099167169895,0.109172613973196,0.222704564679316,-0.052439536275934,-0.00938793323841,0.440244165965632
Stha_R,zReHo_Stha_Rgmd_Stha_RzfALFF_Stha_RzALFF_Stha_RzDCwei_Stha_RzDCbin_Stha_R,0.166274003194813,0.115148901001948,0.161117951846661,0.276533834599914,0.056491699720486,-0.020352133101045,0.755214257262777
Stha_L,zReHo_Stha_Lgmd_Stha_LzfALFF_Stha_LzALFF_Stha_LzDCwei_Stha_LzDCbin_Stha_L,0.139647405605226,0.131759784601705,0.148184075731298,0.252182570465653,-0.035701432250042,-0.084133567542698,0.551938836611142
mPMtha_R,zReHo_mPMtha_Rgmd_mPMtha_RzfALFF_mPMtha_RzALFF_mPMtha_RzDCwei_mPMtha_RzDCbin_mPMtha_R,0.120668558490507,0.154674804011278,0.17991636043292,0.173313982395322,0.025615025557576,0.030824907780158,0.685013638667761
mPMtha_L,zReHo_mPMtha_Lgmd_mPMtha_LzfALFF_mPMtha_LzALFF_mPMtha_LzDCwei_mPMtha_LzDCbin_mPMtha_L,0.156234017143906,0.163550137383935,0.18488784859317,0.287707270381794,-0.068769695168237,0.031311178317921,0.754920756652489
mPFtha_R,zReHo_mPFtha_Rgmd_mPFtha_RzfALFF_mPFtha_RzALFF_mPFtha_RzDCwei_mPFtha_RzDCbin_mPFtha_R,0.148437435407323,0.108135101662109,0.116069328775051,0.167649044822997,-0.040909244972709,-0.04120392180902,0.458177743885751
