parc_name,parcel_name,gmd_sws_total_fdr,zALFF_sws_total_fdr,zDCbin_sws_total_fdr,zDCwei_sws_total_fdr,zfALFF_sws_total_fdr,zReHo_sws_total_fdr,sws_total
17Networks_LH_ContA_IPS_1,zfALFF_17Networks_LH_ContA_IPS_1,,,,,0.041519553367147,,0.041519553367147
17Networks_LH_LimbicA_TempPole_7,zfALFF_17Networks_LH_LimbicA_TempPole_7,,,,,0.0292415330267,,0.0292415330267
17Networks_LH_LimbicA_TempPole_6,zfALFF_17Networks_LH_LimbicA_TempPole_6,,,,,0.004866913971969,,0.004866913971969
17Networks_LH_LimbicA_TempPole_5,zfALFF_17Networks_LH_LimbicA_TempPole_5,,,,,0.044540428762109,,0.044540428762109
17Networks_LH_LimbicA_TempPole_2,zfALFF_17Networks_LH_LimbicA_TempPole_2,,,,,0.027869800286828,,0.027869800286828
17Networks_LH_LimbicA_TempPole_1,zfALFF_17Networks_LH_LimbicA_TempPole_1,,,,,0.035628445120417,,0.035628445120417
17Networks_LH_SalVentAttnB_PFCmp_1,zfALFF_17Networks_LH_SalVentAttnB_PFCmp_1,,,,,0.041177301859391,,0.041177301859391
17Networks_LH_SalVentAttnB_PFCl_2,zfALFF_17Networks_LH_SalVentAttnB_PFCl_2,,,,,0.032136943545218,,0.032136943545218
17Networks_LH_SalVentAttnB_PFCl_1,zfALFF_17Networks_LH_SalVentAttnB_PFCl_1,,,,,0.041309255498928,,0.041309255498928
17Networks_LH_SalVentAttnA_FrMed_2,zfALFF_17Networks_LH_SalVentAttnA_FrMed_2zDCwei_17Networks_LH_SalVentAttnA_FrMed_2zDCbin_17Networks_LH_SalVentAttnA_FrMed_2,0,0,0.039753490952307,0.043938835791019,0.021335797044423,0,0.105028123787749
17Networks_LH_SalVentAttnA_Ins_1,zfALFF_17Networks_LH_SalVentAttnA_Ins_1,,,,,0.005066165310053,,0.005066165310053
17Networks_LH_DorsAttnB_PostC_5,zfALFF_17Networks_LH_DorsAttnB_PostC_5,,,,,0.014855420518547,,0.014855420518547
17Networks_LH_DorsAttnB_PostC_2,zfALFF_17Networks_LH_DorsAttnB_PostC_2,,,,,0.031381608240155,,0.031381608240155
17Networks_LH_DorsAttnA_SPL_3,zfALFF_17Networks_LH_DorsAttnA_SPL_3,,,,,0.020950240934517,,0.020950240934517
17Networks_LH_SomMotB_Cent_3,zfALFF_17Networks_LH_SomMotB_Cent_3,,,,,0.014855420518547,,0.014855420518547
17Networks_LH_SomMotB_Aud_4,zfALFF_17Networks_LH_SomMotB_Aud_4,,,,,0.04750728904574,,0.04750728904574
17Networks_LH_SomMotB_Aud_3,zfALFF_17Networks_LH_SomMotB_Aud_3zDCbin_17Networks_LH_SomMotB_Aud_3,0,0,0.04750728904574,0,0.04447808578329,0,0.09198537482903
17Networks_LH_SomMotB_S2_2,zfALFF_17Networks_LH_SomMotB_S2_2,,,,,0.0292415330267,,0.0292415330267
17Networks_LH_SomMotB_Aud_1,zfALFF_17Networks_LH_SomMotB_Aud_1,,,,,0.016676536868844,,0.016676536868844
17Networks_LH_SomMotA_1,zfALFF_17Networks_LH_SomMotA_1zALFF_17Networks_LH_SomMotA_1,0,0.03859447712233,0,0,0.041200082241088,0,0.079794559363418
17Networks_LH_VisCent_Striate_1,zfALFF_17Networks_LH_VisCent_Striate_1,,,,,0.04447808578329,,0.04447808578329
17Networks_RH_TempPar_5,zALFF_17Networks_RH_TempPar_5zDCwei_17Networks_RH_TempPar_5zDCbin_17Networks_RH_TempPar_5,0,0.029898253386518,0.04750728904574,0.049220481923373,0,0,0.126626024355631
17Networks_RH_TempPar_4,zALFF_17Networks_RH_TempPar_4zDCwei_17Networks_RH_TempPar_4zDCbin_17Networks_RH_TempPar_4,0,0.017539806641627,0.014855420518547,0.015935533065991,0,0,0.048330760226165
17Networks_RH_DefaultC_IPL_1,zALFF_17Networks_RH_DefaultC_IPL_1,,0.027869800286828,,,,,0.027869800286828
17Networks_RH_DefaultB_Temp_2,zALFF_17Networks_RH_DefaultB_Temp_2,,0.035628445120417,,,,,0.035628445120417
17Networks_RH_DefaultA_PFCm_6,zALFF_17Networks_RH_DefaultA_PFCm_6,,0.035628445120417,,,,,0.035628445120417
17Networks_RH_ContB_PFClv_3,zALFF_17Networks_RH_ContB_PFClv_3,,0.04750728904574,,,,,0.04750728904574
17Networks_RH_SalVentAttnA_Ins_2,zALFF_17Networks_RH_SalVentAttnA_Ins_2,,0.036616609051211,,,,,0.036616609051211
17Networks_RH_SalVentAttnA_ParOper_2,zALFF_17Networks_RH_SalVentAttnA_ParOper_2,,0.033089177551158,,,,,0.033089177551158
17Networks_RH_DorsAttnA_ParOcc_2,zALFF_17Networks_RH_DorsAttnA_ParOcc_2,,0.04144493740527,,,,,0.04144493740527
17Networks_RH_DorsAttnA_ParOcc_1,zALFF_17Networks_RH_DorsAttnA_ParOcc_1,,0.043086750990909,,,,,0.043086750990909
17Networks_RH_DorsAttnA_TempOcc_1,zALFF_17Networks_RH_DorsAttnA_TempOcc_1zDCwei_17Networks_RH_DorsAttnA_TempOcc_1zDCbin_17Networks_RH_DorsAttnA_TempOcc_1,0,0.028399348147713,0.0292415330267,0.032136943545218,0,0,0.089777824719631
17Networks_RH_SomMotB_Ins_1,zALFF_17Networks_RH_SomMotB_Ins_1,,0.029961124159482,,,,,0.029961124159482
17Networks_RH_VisPeri_ExStrInf_3,zALFF_17Networks_RH_VisPeri_ExStrInf_3,,0.042248086809483,,,,,0.042248086809483
17Networks_RH_VisPeri_ExStrInf_1,zALFF_17Networks_RH_VisPeri_ExStrInf_1,,0.041309255498928,,,,,0.041309255498928
17Networks_RH_VisCent_ExStr_1,zALFF_17Networks_RH_VisCent_ExStr_1,,0.031062253658896,,,,,0.031062253658896
17Networks_LH_DefaultC_PHC_1,zALFF_17Networks_LH_DefaultC_PHC_1,,0.043235049428021,,,,,0.043235049428021
17Networks_LH_DefaultC_Rsp_2,zALFF_17Networks_LH_DefaultC_Rsp_2,,0.027869800286828,,,,,0.027869800286828
17Networks_LH_DefaultC_Rsp_1,zALFF_17Networks_LH_DefaultC_Rsp_1,,0.04750728904574,,,,,0.04750728904574
17Networks_LH_DefaultB_PFCv_2,zALFF_17Networks_LH_DefaultB_PFCv_2,,0.035628445120417,,,,,0.035628445120417
17Networks_LH_ContA_PFClv_1,zALFF_17Networks_LH_ContA_PFClv_1,,0.04777208771704,,,,,0.04777208771704
17Networks_LH_ContA_IPS_4,zALFF_17Networks_LH_ContA_IPS_4,,0.036616609051211,,,,,0.036616609051211
17Networks_LH_SalVentAttnA_Ins_2,zALFF_17Networks_LH_SalVentAttnA_Ins_2,,0.021335797044423,,,,,0.021335797044423
17Networks_LH_DorsAttnB_FEF_1,zALFF_17Networks_LH_DorsAttnB_FEF_1,,0.04447808578329,,,,,0.04447808578329
17Networks_RH_SalVentAttnA_FrMed_4,zDCwei_17Networks_RH_SalVentAttnA_FrMed_4zDCbin_17Networks_RH_SalVentAttnA_FrMed_4,0,0,0.046099988430321,0.041309255498928,0,0,0.087409243929249
17Networks_RH_SalVentAttnA_ParOper_1,zDCwei_17Networks_RH_SalVentAttnA_ParOper_1zDCbin_17Networks_RH_SalVentAttnA_ParOper_1,0,0,0.014855420518547,0.014855420518547,0,0,0.029710841037094
17Networks_RH_DorsAttnB_PostC_8,zDCwei_17Networks_RH_DorsAttnB_PostC_8zDCbin_17Networks_RH_DorsAttnB_PostC_8,0,0,0.04447808578329,0.039753490952307,0,0,0.084231576735597
17Networks_RH_SomMotB_S2_3,zDCwei_17Networks_RH_SomMotB_S2_3zDCbin_17Networks_RH_SomMotB_S2_3,0,0,0.03444788297338,0.041309255498928,0,0,0.075757138472308
17Networks_LH_DefaultC_PHC_3,zDCwei_17Networks_LH_DefaultC_PHC_3zDCbin_17Networks_LH_DefaultC_PHC_3,0,0,0.04447808578329,0.041309255498928,0,0,0.085787341282218
17Networks_LH_DefaultB_Temp_5,zDCwei_17Networks_LH_DefaultB_Temp_5,,,,0.049053735370639,,,0.049053735370639
