parc_name,parcel_name,gmd_sws_rs_fdr,zALFF_sws_rs_fdr,zDCbin_sws_rs_fdr,zDCwei_sws_rs_fdr,zfALFF_sws_rs_fdr,zReHo_sws_rs_fdr,sws_rs
17Networks_RH_DorsAttnB_PostC_3,zfALFF_17Networks_RH_DorsAttnB_PostC_3zALFF_17Networks_RH_DorsAttnB_PostC_3,0,0.048707177961764,0,0,0.007178888636167,0,0.055886066597931
17Networks_RH_DorsAttnB_PostC_2,zfALFF_17Networks_RH_DorsAttnB_PostC_2zALFF_17Networks_RH_DorsAttnB_PostC_2,0,0.008439495818958,0,0,0.005722793697324,0,0.014162289516282
17Networks_RH_DorsAttnB_PostC_1,zfALFF_17Networks_RH_DorsAttnB_PostC_1zDCbin_17Networks_RH_DorsAttnB_PostC_1,0,0,0.048707177961764,0,0.007682849559186,0,0.05639002752095
17Networks_RH_DorsAttnA_SPL_4,zfALFF_17Networks_RH_DorsAttnA_SPL_4,,,,,0.04909903218292,,0.04909903218292
17Networks_RH_DorsAttnA_SPL_1,zfALFF_17Networks_RH_DorsAttnA_SPL_1,,,,,0.029929561754879,,0.029929561754879
17Networks_RH_DorsAttnA_ParOcc_2,zfALFF_17Networks_RH_DorsAttnA_ParOcc_2zALFF_17Networks_RH_DorsAttnA_ParOcc_2zDCbin_17Networks_RH_DorsAttnA_ParOcc_2,0,0.024831920987231,0.048707177961764,0,0.048707177961764,0,0.122246276910759
17Networks_RH_SomMotB_Cent_3,zfALFF_17Networks_RH_SomMotB_Cent_3zALFF_17Networks_RH_SomMotB_Cent_3,0,0.028508110230768,0,0,0.008552959155864,0,0.037061069386632
17Networks_RH_SomMotB_Cent_2,zfALFF_17Networks_RH_SomMotB_Cent_2zALFF_17Networks_RH_SomMotB_Cent_2,0,0.017829233099212,0,0,0.006672819559332,0,0.024502052658544
17Networks_RH_SomMotB_Cent_1,zfALFF_17Networks_RH_SomMotB_Cent_1zALFF_17Networks_RH_SomMotB_Cent_1zDCwei_17Networks_RH_SomMotB_Cent_1zDCbin_17Networks_RH_SomMotB_Cent_1,0,0.029929561754879,0.037655970143253,0.028892352537024,0.015465245551669,0,0.111943129986825
17Networks_RH_SomMotB_S2_8,zfALFF_17Networks_RH_SomMotB_S2_8,,,,,0.024735101292177,,0.024735101292177
17Networks_RH_SomMotB_S2_7,zfALFF_17Networks_RH_SomMotB_S2_7zDCbin_17Networks_RH_SomMotB_S2_7,0,0,0.035281667812391,0,0.045124114568169,0,0.08040578238056
17Networks_RH_SomMotB_S2_6,zfALFF_17Networks_RH_SomMotB_S2_6zALFF_17Networks_RH_SomMotB_S2_6zDCwei_17Networks_RH_SomMotB_S2_6zDCbin_17Networks_RH_SomMotB_S2_6,0,0.010475584100582,0.030358802440932,0.043626187260898,0.00241216739247,0,0.086872741194882
17Networks_RH_SomMotB_S2_5,zfALFF_17Networks_RH_SomMotB_S2_5zALFF_17Networks_RH_SomMotB_S2_5,0,0.044448010809187,0,0,0.010703064892678,0,0.055151075701865
17Networks_RH_SomMotB_S2_4,zfALFF_17Networks_RH_SomMotB_S2_4zDCbin_17Networks_RH_SomMotB_S2_4,0,0,0.04163548949506,0,0.033187493037735,0,0.074822982532795
17Networks_RH_SomMotB_Aud_3,zfALFF_17Networks_RH_SomMotB_Aud_3zALFF_17Networks_RH_SomMotB_Aud_3,0,0.014233440272412,0,0,0.035281667812391,0,0.049515108084803
17Networks_RH_SomMotB_S2_2,zfALFF_17Networks_RH_SomMotB_S2_2zDCwei_17Networks_RH_SomMotB_S2_2zDCbin_17Networks_RH_SomMotB_S2_2,0,0,0.017829233099212,0.021923137740338,0.03960872394604,0,0.07936109478559
