parc_name,parcel_name,zALFF_sws_rs_p,zDCbin_sws_rs_p,zDCwei_sws_rs_p,zfALFF_sws_rs_p,zReHo_sws_rs_p,gmd_sws_rs_p,sws_rs
PPtha_R,zReHo_PPtha_Rgmd_PPtha_RzfALFF_PPtha_RzALFF_PPtha_RzDCwei_PPtha_RzDCbin_PPtha_R,0.008768857292673,0.592051722569249,0.588831929399124,0.418265798349905,0.077937660978848,0.913935094296782,2.59979106288658
PPtha_L,zReHo_PPtha_Lgmd_PPtha_LzfALFF_PPtha_LzALFF_PPtha_LzDCwei_PPtha_LzDCbin_PPtha_L,0.228464062195473,0.43541758788145,0.504097373359901,0.141644004792819,0.129963523515098,0.35894773407356,1.7985342858183
rTtha_R,zReHo_rTtha_Rgmd_rTtha_RzfALFF_rTtha_RzALFF_rTtha_RzDCwei_rTtha_RzDCbin_rTtha_R,0.613346786918786,0.104279867422668,0.099990759340615,0.142869756279282,0.107768051555666,0.736313749303154,1.80456897082017
rTtha_L,zReHo_rTtha_Lgmd_rTtha_LzfALFF_rTtha_LzALFF_rTtha_LzDCwei_rTtha_LzDCbin_rTtha_L,0.328356502630932,0.510893635608327,0.54967488177576,0.198784617221965,0.079603478475944,0.11709394506615,1.78440706077908
Stha_R,zReHo_Stha_Rgmd_Stha_RzfALFF_Stha_RzALFF_Stha_RzDCwei_Stha_RzDCbin_Stha_R,0.086559493705401,0.377419071626152,0.275967651980616,0.067509821031217,0.020335030341643,0.124092526530718,0.951883595215747
Stha_L,zReHo_Stha_Lgmd_Stha_LzfALFF_Stha_LzALFF_Stha_LzDCwei_Stha_LzDCbin_Stha_L,0.609241757652542,0.19112503625752,0.183488361138971,0.133478339254626,0.015177314139079,0.039649888199118,1.17216069664186
mPMtha_R,zReHo_mPMtha_Rgmd_mPMtha_RzfALFF_mPMtha_RzALFF_mPMtha_RzDCwei_mPMtha_RzDCbin_mPMtha_R,0.251962733979209,0.187992200487007,0.146627659931851,0.323984208498751,0.012838530010571,0.683352328777608,1.606757661685
mPMtha_L,zReHo_mPMtha_Lgmd_mPMtha_LzfALFF_mPMtha_LzALFF_mPMtha_LzDCwei_mPMtha_LzDCbin_mPMtha_L,0.179569192635461,0.008985045074475,0.009908311401824,0.082287200922357,0.015495310912726,0.928725798843979,1.22497085979082
mPFtha_R,zReHo_mPFtha_Rgmd_mPFtha_RzfALFF_mPFtha_RzALFF_mPFtha_RzDCwei_mPFtha_RzDCbin_mPFtha_R,0.381330344422189,0.178781524947292,0.301207586642964,0.40438868099918,0.047453854783203,0.818061631509738,2.13122362330457
mPFtha_L,zReHo_mPFtha_Lgmd_mPFtha_LzfALFF_mPFtha_LzALFF_mPFtha_LzDCwei_mPFtha_LzDCbin_mPFtha_L,0.680767603527046,0.088319134751508,0.169391736003565,0.121953970875602,0.011001879715901,0.52546421089255,1.59689853576617
dlPu_R,zReHo_dlPu_Rgmd_dlPu_RzfALFF_dlPu_RzALFF_dlPu_RzDCwei_dlPu_RzDCbin_dlPu_R,0.180245191106055,0.33010053012025,0.440432826174868,0.046856023007974,0.800520900375511,0.372073595892011,2.17022906667667
dlPu_L,zReHo_dlPu_Lgmd_dlPu_LzfALFF_dlPu_LzALFF_dlPu_LzDCwei_dlPu_LzDCbin_dlPu_L,0.487128703428431,0.045802758822491,0.020013838079456,0.704662519634631,0.160187604352017,0.021478394745041,1.43927381906207
dCa_R,zReHo_dCa_Rgmd_dCa_RzfALFF_dCa_RzALFF_dCa_RzDCwei_dCa_RzDCbin_dCa_R,0.394569859208391,0.93616296062971,0.972253284660199,0.01458954923021,0.491812261131396,0.262299228829212,3.07168714368912
dCa_L,zReHo_dCa_Lgmd_dCa_LzfALFF_dCa_LzALFF_dCa_LzDCwei_dCa_LzDCbin_dCa_L,0.022135779505479,0.786733168764694,0.608567355737252,0.080925303202455,0.211512617482196,0.489608893852345,2.19948311854442
vmPu_R,zReHo_vmPu_Rgmd_vmPu_RzfALFF_vmPu_RzALFF_vmPu_RzDCwei_vmPu_RzDCbin_vmPu_R,0.294953700082364,0.717950175114109,0.780900146664981,0.086607756670419,0.59113488110151,0.390985264274185,2.86253192390757
vmPu_L,zReHo_vmPu_Lgmd_vmPu_LzfALFF_vmPu_LzALFF_vmPu_LzDCwei_vmPu_LzDCbin_vmPu_L,0.847222095757034,0.383454993216775,0.421593771431022,0.930928064267145,0.932956441063034,0.222070481671104,3.73822584740611
NAC_R,zReHo_NAC_Rgmd_NAC_RzfALFF_NAC_RzALFF_NAC_RzDCwei_NAC_RzDCbin_NAC_R,0.549100826256074,0.739532465506272,0.683279985637978,0.843258641896855,0.457962293186766,0.924491800567033,4.19762601305098
NAC_L,zReHo_NAC_Lgmd_NAC_LzfALFF_NAC_LzALFF_NAC_LzDCwei_NAC_LzDCbin_NAC_L,0.951653000552979,0.451275708772034,0.489560582956171,0.225873221611413,0.283722859888143,0.498027478558845,2.90011285233958
GP_R,zReHo_GP_Rgmd_GP_RzfALFF_GP_RzALFF_GP_RzDCwei_GP_RzDCbin_GP_R,0.520701268728035,0.446858495796062,0.380729497346446,0.519458598197889,0.478341113116938,0.612962717325494,2.95905169051086
GP_L,zReHo_GP_Lgmd_GP_LzfALFF_GP_LzALFF_GP_LzDCwei_GP_LzDCbin_GP_L,0.940532646938971,0.551244262789332,0.545300997638001,0.704929190873293,0.650984184599038,0.962666475130421,4.35565775796906
vCa_R,zReHo_vCa_Rgmd_vCa_RzfALFF_vCa_RzALFF_vCa_RzDCwei_vCa_RzDCbin_vCa_R,0.039263921741667,0.716058645108854,0.717504459306374,0.09380164784285,0.788001047930218,0.321231242653527,2.67586096458349
vCa_L,zReHo_vCa_Lgmd_vCa_LzfALFF_vCa_LzALFF_vCa_LzDCwei_vCa_LzDCbin_vCa_L,0.617296936481115,0.925753706026276,0.981263486257206,0.065832740765567,0.573043468720748,0.364671297629812,3.52786163588072
cHipp_R,zReHo_cHipp_Rgmd_cHipp_RzfALFF_cHipp_RzALFF_cHipp_RzDCwei_cHipp_RzDCbin_cHipp_R,0.504952773164387,0.765139867347945,0.9672974996315,0.79538486511262,0.807710309876116,0.689912432589446,4.53039774772202
cHipp_L,zReHo_cHipp_Lgmd_cHipp_LzfALFF_cHipp_LzALFF_cHipp_LzDCwei_cHipp_LzDCbin_cHipp_L,0.827619798116751,0.434174801217058,0.469970550502952,0.000560147456135,0.003789089061857,0.417121180338556,2.15323556669331
rHipp_R,zReHo_rHipp_Rgmd_rHipp_RzfALFF_rHipp_RzALFF_rHipp_RzDCwei_rHipp_RzDCbin_rHipp_R,0.275772016561559,0.243212852577057,0.25044984692472,0.099567606620552,0.089535715014772,0.249690332070749,1.20822836976941
