,gmd_sws_ms_fdr,gmd_sws_ms_p,gmd_sws_ms_r,parc_name,parcel_name,sws_ms,zALFF_sws_ms_fdr,zALFF_sws_ms_p,zALFF_sws_ms_r,zDCbin_sws_ms_fdr,zDCbin_sws_ms_p,zDCbin_sws_ms_r,zDCwei_sws_ms_fdr,zDCwei_sws_ms_p,zDCwei_sws_ms_r,zReHo_sws_ms_bonferroni,zReHo_sws_ms_fdr,zReHo_sws_ms_p,zReHo_sws_ms_r,zfALFF_sws_ms_fdr,zfALFF_sws_ms_p,zfALFF_sws_ms_r
280,,0.76067191088918,-0.028460007365365,17Networks_LH_DefaultB_IPL_1,zReHo_17Networks_LH_DefaultB_IPL_1gmd_17Networks_LH_DefaultB_IPL_1zfALFF_17Networks_LH_DefaultB_IPL_1zALFF_17Networks_LH_DefaultB_IPL_1zDCwei_17Networks_LH_DefaultB_IPL_1zDCbin_17Networks_LH_DefaultB_IPL_1,-0.435420363696993,,0.195566093617117,-0.120514224398287,,0.842580617381558,-0.01855765647576,,0.982321116050186,-0.002070832842461,,,0.129950593802097,-0.140810114362145,,0.179297976067598,-0.125007528252975
281,,0.163831515260295,-0.129566040319292,17Networks_LH_DefaultB_Temp_6,zReHo_17Networks_LH_DefaultB_Temp_6gmd_17Networks_LH_DefaultB_Temp_6zfALFF_17Networks_LH_DefaultB_Temp_6zALFF_17Networks_LH_DefaultB_Temp_6zDCwei_17Networks_LH_DefaultB_Temp_6zDCbin_17Networks_LH_DefaultB_Temp_6,-0.428277110107806,,0.702536560116572,-0.035678361286966,,0.327141202438356,-0.091382137184789,,0.344267900136877,-0.088212615257872,,,0.399575382561114,-0.078601373151764,,0.958724512469715,-0.004836582907123
282,,0.619245564797758,-0.046413815063682,17Networks_LH_DefaultB_Temp_5,zReHo_17Networks_LH_DefaultB_Temp_5gmd_17Networks_LH_DefaultB_Temp_5zfALFF_17Networks_LH_DefaultB_Temp_5zALFF_17Networks_LH_DefaultB_Temp_5zDCwei_17Networks_LH_DefaultB_Temp_5zDCbin_17Networks_LH_DefaultB_Temp_5,-0.732833995701089,,0.206459951988557,-0.117654734017071,,0.09055312642484,-0.157183898531278,,0.074363867879361,-0.165601905095699,,0.049179098733603,0.02841956668955,-0.20266778354639,,0.642879123211346,-0.043311859446969
283,,0.96227629101984,-0.004420071408568,17Networks_LH_DefaultB_Temp_4,zReHo_17Networks_LH_DefaultB_Temp_4gmd_17Networks_LH_DefaultB_Temp_4zfALFF_17Networks_LH_DefaultB_Temp_4zALFF_17Networks_LH_DefaultB_Temp_4zDCwei_17Networks_LH_DefaultB_Temp_4zDCbin_17Networks_LH_DefaultB_Temp_4,-0.364310789296482,,0.508158742717881,-0.061779706070806,,0.270829533705285,-0.102634590532815,,0.335038290149398,-0.089907893552424,,,0.212314748968979,-0.116162460062497,,0.909742177855353,0.010593932330628
284,,0.555747295924361,-0.055018208123011,17Networks_LH_DefaultB_Temp_3,zReHo_17Networks_LH_DefaultB_Temp_3gmd_17Networks_LH_DefaultB_Temp_3zfALFF_17Networks_LH_DefaultB_Temp_3zALFF_17Networks_LH_DefaultB_Temp_3zDCwei_17Networks_LH_DefaultB_Temp_3zDCbin_17Networks_LH_DefaultB_Temp_3,0.141667205977989,,0.912409138219422,0.010279632006787,,0.406555787880173,0.077446929752499,,0.436926154000588,0.072554330206445,,,0.842214833957472,0.018601343347857,,0.848902966120806,0.017803178787412
285,,0.557178110227211,0.054819434987803,17Networks_LH_DefaultB_Temp_2,zReHo_17Networks_LH_DefaultB_Temp_2gmd_17Networks_LH_DefaultB_Temp_2zfALFF_17Networks_LH_DefaultB_Temp_2zALFF_17Networks_LH_DefaultB_Temp_2zDCwei_17Networks_LH_DefaultB_Temp_2zDCbin_17Networks_LH_DefaultB_Temp_2,0.20561708183261,,0.255996066920258,0.105855690835279,,0.870772211416513,0.015201907281702,,0.754582449597537,0.02920756348311,,,0.635539088915623,-0.044270055594809,,0.631475275983563,0.044802540839525
286,,0.778823610662939,0.026242093687671,17Networks_LH_DefaultB_Temp_1,zReHo_17Networks_LH_DefaultB_Temp_1gmd_17Networks_LH_DefaultB_Temp_1zfALFF_17Networks_LH_DefaultB_Temp_1zALFF_17Networks_LH_DefaultB_Temp_1zDCwei_17Networks_LH_DefaultB_Temp_1zDCbin_17Networks_LH_DefaultB_Temp_1,0.197677467104182,,0.382517663307337,0.081473974651457,,0.613009507321571,0.047240673725492,,0.468850203461795,0.06761555627777,,,0.437832099614601,-0.072411436805394,,0.610934573943564,0.047516605567186
287,0.049179098733603,0.039936366631579,-0.190234333314762,17Networks_LH_DefaultA_PFCm_6,zReHo_17Networks_LH_DefaultA_PFCm_6gmd_17Networks_LH_DefaultA_PFCm_6zfALFF_17Networks_LH_DefaultA_PFCm_6zALFF_17Networks_LH_DefaultA_PFCm_6zDCwei_17Networks_LH_DefaultA_PFCm_6zDCbin_17Networks_LH_DefaultA_PFCm_6,-0.497099405565972,,0.452494091596093,-0.070121650074357,,0.400274204294355,-0.078485264556184,,0.633077783567487,-0.044592391912771,,,0.498439012837456,0.063199802903657,,0.056440230389505,-0.176865568611555
288,,0.369942297917821,0.083641649005802,17Networks_LH_DefaultA_PFCm_5,zReHo_17Networks_LH_DefaultA_PFCm_5gmd_17Networks_LH_DefaultA_PFCm_5zfALFF_17Networks_LH_DefaultA_PFCm_5zALFF_17Networks_LH_DefaultA_PFCm_5zDCwei_17Networks_LH_DefaultA_PFCm_5zDCbin_17Networks_LH_DefaultA_PFCm_5,0.001582511451276,,0.515835985369215,-0.060667947444574,,0.701783199216685,0.03577320234283,,0.466664110255279,0.067947693954179,,,0.706444332361164,0.035186989149158,,0.084263551876582,-0.160299075556119
289,,0.112064615420134,-0.147680275152421,17Networks_LH_DefaultA_PFCm_4,zReHo_17Networks_LH_DefaultA_PFCm_4gmd_17Networks_LH_DefaultA_PFCm_4zfALFF_17Networks_LH_DefaultA_PFCm_4zALFF_17Networks_LH_DefaultA_PFCm_4zDCwei_17Networks_LH_DefaultA_PFCm_4zDCbin_17Networks_LH_DefaultA_PFCm_4,-0.033845503512495,,0.130583178020685,0.140580830686335,,0.721415603117116,0.033313197596273,,0.458924233311354,0.069130545989283,,,0.457119456933922,-0.069407941324592,,0.521997097186177,-0.059781861307373
