parc_name,parcel_name,zALFF_sws_rs_r,zDCbin_sws_rs_r,zDCwei_sws_rs_r,zfALFF_sws_rs_r,zReHo_sws_rs_r,gmd_sws_rs_r,sws_rs
17Networks_17,gmd_17Networks_17zReHo_17Networks_17zfALFF_17Networks_17zDCwei_17Networks_17zDCbin_17Networks_17zALFF_17Networks_17,-0.104979132094043,0.050568167669255,0.053889459377819,0.013074532335582,-0.096502767227468,0.166971039593636,0.083021299654781
17Networks_16,gmd_17Networks_16zReHo_17Networks_16zfALFF_17Networks_16zDCwei_17Networks_16zDCbin_17Networks_16zALFF_17Networks_16,-0.046287768964959,0.078979676200225,0.087747808852517,0.100205818029876,0.011062930005964,0.118898171464724,0.350606635588347
17Networks_15,gmd_17Networks_15zReHo_17Networks_15zfALFF_17Networks_15zDCwei_17Networks_15zDCbin_17Networks_15zALFF_17Networks_15,-0.045493681128081,0.165135587239864,0.17722533331251,0.164955869592556,0.258150290376737,0.040398115095093,0.760371514488679
17Networks_14,gmd_17Networks_14zReHo_17Networks_14zfALFF_17Networks_14zDCwei_17Networks_14zDCbin_17Networks_14zALFF_17Networks_14,-0.003018681870814,0.098353629222473,0.115937193599636,0.06598166951243,0.053182317358411,-0.0442112300209,0.286224897801236
17Networks_13,gmd_17Networks_13zReHo_17Networks_13zfALFF_17Networks_13zDCwei_17Networks_13zDCbin_17Networks_13zALFF_17Networks_13,-0.003970858445594,0.04952400064975,0.046649270571717,0.074464314188359,0.054433805514248,0.116004278592806,0.337104811071286
17Networks_12,gmd_17Networks_12zReHo_17Networks_12zfALFF_17Networks_12zDCwei_17Networks_12zDCbin_17Networks_12zALFF_17Networks_12,-0.109109946274479,0.026041424098875,0.018383553374526,0.026241818614158,-0.014294727402363,0.06737717700318,0.014639299413897
17Networks_11,gmd_17Networks_11zReHo_17Networks_11zfALFF_17Networks_11zDCwei_17Networks_11zDCbin_17Networks_11zALFF_17Networks_11,-0.012630275209443,0.230186931626695,0.241750519256776,0.22409851041896,0.260429733913042,-0.087728778051162,0.856106641954868
17Networks_10,gmd_17Networks_10zReHo_17Networks_10zfALFF_17Networks_10zDCwei_17Networks_10zDCbin_17Networks_10zALFF_17Networks_10,-0.030543062141518,0.080624701863856,0.090725921285468,0.113311402220154,0.132393465899133,-0.080896038419835,0.305616390707258
17Networks_9,gmd_17Networks_9zReHo_17Networks_9zfALFF_17Networks_9zDCwei_17Networks_9zDCbin_17Networks_9zALFF_17Networks_9,-0.026695615470951,0.212356360422476,0.235625566122042,0.2383552348207,0.240092597227665,-0.062812123594724,0.836922019527208
17Networks_8,gmd_17Networks_8zReHo_17Networks_8zfALFF_17Networks_8zDCwei_17Networks_8zDCbin_17Networks_8zALFF_17Networks_8,-0.053117349712075,0.069542467562629,0.087236654883887,0.186251743956284,0.175137196854084,0.087990142199428,0.553040855744237
17Networks_7,gmd_17Networks_7zReHo_17Networks_7zfALFF_17Networks_7zDCwei_17Networks_7zDCbin_17Networks_7zALFF_17Networks_7,-0.039056226745888,0.113557126706792,0.123555553284333,0.156940510421996,0.203190373938492,-0.019499377627008,0.538687959978717
17Networks_6,gmd_17Networks_6zReHo_17Networks_6zfALFF_17Networks_6zDCwei_17Networks_6zDCbin_17Networks_6zALFF_17Networks_6,-0.084785265145998,0.062299528012256,0.072198138695298,0.071165153416085,0.095688333739405,-0.012681172560552,0.203884716156494
17Networks_5,gmd_17Networks_5zReHo_17Networks_5zfALFF_17Networks_5zDCwei_17Networks_5zDCbin_17Networks_5zALFF_17Networks_5,-0.077688787682778,0.177835747340654,0.182447528588577,0.204066455312769,0.195098077306066,0.095958028096237,0.777717048961525
