parc_name,parcel_name,zALFF_sws_ms_fdr,zfALFF_sws_ms_fdr,gmd_sws_ms_fdr,zReHo_sws_ms_fdr,zDCbin_sws_ms_fdr,zDCwei_sws_ms_fdr,sws_ms
17Networks_RH_ContA_PFCl_3,zfALFF_17Networks_RH_ContA_PFCl_3,,0.049179098733603,,,,,0.049179098733603
17Networks_RH_ContA_PFCl_2,zfALFF_17Networks_RH_ContA_PFCl_2,,0.049179098733603,,,,,0.049179098733603
17Networks_RH_ContA_PFCl_1,zfALFF_17Networks_RH_ContA_PFCl_1,,0.049179098733603,,,,,0.049179098733603
17Networks_RH_SalVentAttnB_PFCmp_1,zfALFF_17Networks_RH_SalVentAttnB_PFCmp_1,,0.049179098733603,,,,,0.049179098733603
17Networks_RH_SalVentAttnB_PFCl_1,zfALFF_17Networks_RH_SalVentAttnB_PFCl_1,,0.049179098733603,,,,,0.049179098733603
17Networks_RH_SalVentAttnA_Ins_1,zfALFF_17Networks_RH_SalVentAttnA_Ins_1,,0.049179098733603,,,,,0.049179098733603
17Networks_RH_SomMotB_Cent_2,zfALFF_17Networks_RH_SomMotB_Cent_2,,0.049179098733603,,,,,0.049179098733603
17Networks_RH_SomMotA_6,zfALFF_17Networks_RH_SomMotA_6zDCwei_17Networks_RH_SomMotA_6zDCbin_17Networks_RH_SomMotA_6,0,0.049179098733603,0,0,0.049179098733603,0.049179098733603,0.147537296200809
17Networks_RH_SomMotA_1,zfALFF_17Networks_RH_SomMotA_1,,0.049179098733603,,,,,0.049179098733603
17Networks_LH_DefaultA_PFCm_3,zfALFF_17Networks_LH_DefaultA_PFCm_3,,0.049179098733603,,,,,0.049179098733603
17Networks_LH_ContB_PFClv_3,zfALFF_17Networks_LH_ContB_PFClv_3,,0.049179098733603,,,,,0.049179098733603
17Networks_LH_ContB_PFClv_2,zfALFF_17Networks_LH_ContB_PFClv_2,,0.049179098733603,,,,,0.049179098733603
17Networks_LH_ContA_PFCl_2,zfALFF_17Networks_LH_ContA_PFCl_2,,0.049179098733603,,,,,0.049179098733603
17Networks_LH_ContA_PFClv_2,zfALFF_17Networks_LH_ContA_PFClv_2,,0.049179098733603,,,,,0.049179098733603
17Networks_LH_LimbicA_TempPole_7,zfALFF_17Networks_LH_LimbicA_TempPole_7,,0.049179098733603,,,,,0.049179098733603
17Networks_LH_SalVentAttnB_PFCl_3,zfALFF_17Networks_LH_SalVentAttnB_PFCl_3,,0.049179098733603,,,,,0.049179098733603
17Networks_LH_SalVentAttnB_PFCl_1,zfALFF_17Networks_LH_SalVentAttnB_PFCl_1,,0.049179098733603,,,,,0.049179098733603
17Networks_LH_SalVentAttnA_Ins_1,zfALFF_17Networks_LH_SalVentAttnA_Ins_1,,0.049179098733603,,,,,0.049179098733603
17Networks_LH_DorsAttnB_PostC_5,zfALFF_17Networks_LH_DorsAttnB_PostC_5,,0.049179098733603,,,,,0.049179098733603
17Networks_LH_SomMotB_Cent_3,zfALFF_17Networks_LH_SomMotB_Cent_3zALFF_17Networks_LH_SomMotB_Cent_3,0.049179098733603,0.049179098733603,0,0,0,0,0.098358197467206
17Networks_LH_SomMotB_Cent_2,zfALFF_17Networks_LH_SomMotB_Cent_2,,0.049179098733603,,,,,0.049179098733603
17Networks_LH_SomMotB_Cent_1,zfALFF_17Networks_LH_SomMotB_Cent_1,,0.049179098733603,,,,,0.049179098733603
17Networks_LH_SomMotB_S2_5,zfALFF_17Networks_LH_SomMotB_S2_5,,0.049179098733603,,,,,0.049179098733603
17Networks_LH_SomMotB_S2_2,zfALFF_17Networks_LH_SomMotB_S2_2,,0.049179098733603,,,,,0.049179098733603
17Networks_LH_SomMotA_14,zfALFF_17Networks_LH_SomMotA_14zDCbin_17Networks_LH_SomMotA_14,0,0.049179098733603,0,0,0.049179098733603,0,0.098358197467206
17Networks_LH_VisCent_Striate_1,zfALFF_17Networks_LH_VisCent_Striate_1,,0.049179098733603,,,,,0.049179098733603
17Networks_RH_ContB_IPL_4,zALFF_17Networks_RH_ContB_IPL_4,0.049179098733603,,,,,,0.049179098733603
17Networks_RH_LimbicA_TempPole_6,zALFF_17Networks_RH_LimbicA_TempPole_6,0.049179098733603,,,,,,0.049179098733603
17Networks_RH_SalVentAttnA_PrC_1,zALFF_17Networks_RH_SalVentAttnA_PrC_1,0.049179098733603,,,,,,0.049179098733603
17Networks_RH_DorsAttnB_PostC_2,zALFF_17Networks_RH_DorsAttnB_PostC_2,0.049179098733603,,,,,,0.049179098733603
17Networks_RH_SomMotA_20,zALFF_17Networks_RH_SomMotA_20,0.049179098733603,,,,,,0.049179098733603
17Networks_LH_DefaultA_pCunPCC_6,zALFF_17Networks_LH_DefaultA_pCunPCC_6,0.049179098733603,,,,,,0.049179098733603
17Networks_LH_DefaultA_pCunPCC_1,zALFF_17Networks_LH_DefaultA_pCunPCC_1,0.049179098733603,,,,,,0.049179098733603
17Networks_LH_ContB_IPL_3,zALFF_17Networks_LH_ContB_IPL_3,0.049179098733603,,,,,,0.049179098733603
17Networks_LH_SalVentAttnA_Ins_2,zALFF_17Networks_LH_SalVentAttnA_Ins_2,0.049179098733603,,,,,,0.049179098733603
17Networks_LH_SomMotB_S2_3,zALFF_17Networks_LH_SomMotB_S2_3,0.049179098733603,,,,,,0.049179098733603
17Networks_RH_TempPar_5,zDCwei_17Networks_RH_TempPar_5zDCbin_17Networks_RH_TempPar_5,0,0,0,0,0.049179098733603,0.049179098733603,0.098358197467206
17Networks_RH_TempPar_4,zDCwei_17Networks_RH_TempPar_4zDCbin_17Networks_RH_TempPar_4,0,0,0,0,0.049179098733603,0.049179098733603,0.098358197467206
17Networks_RH_DefaultA_PFCm_1,zDCwei_17Networks_RH_DefaultA_PFCm_1zDCbin_17Networks_RH_DefaultA_PFCm_1,0,0,0,0,0.049179098733603,0.049179098733603,0.098358197467206
17Networks_RH_SalVentAttnA_FrMed_4,zDCwei_17Networks_RH_SalVentAttnA_FrMed_4,,,,,,0.049179098733603,0.049179098733603
17Networks_RH_SalVentAttnA_FrMed_1,zDCwei_17Networks_RH_SalVentAttnA_FrMed_1zDCbin_17Networks_RH_SalVentAttnA_FrMed_1,0,0,0,0,0.049179098733603,0.049179098733603,0.098358197467206
17Networks_RH_SomMotB_S2_3,zDCwei_17Networks_RH_SomMotB_S2_3zDCbin_17Networks_RH_SomMotB_S2_3,0,0,0,0,0.049179098733603,0.049179098733603,0.098358197467206
17Networks_LH_TempPar_6,zDCwei_17Networks_LH_TempPar_6zDCbin_17Networks_LH_TempPar_6,0,0,0,0,0.049179098733603,0.049179098733603,0.098358197467206
17Networks_LH_DefaultC_PHC_3,zDCwei_17Networks_LH_DefaultC_PHC_3zDCbin_17Networks_LH_DefaultC_PHC_3,0,0,0,0,0.049179098733603,0.049179098733603,0.098358197467206
17Networks_LH_DefaultB_PFCd_6,zDCwei_17Networks_LH_DefaultB_PFCd_6,,,,,,0.049179098733603,0.049179098733603
17Networks_LH_ContA_PFCd_1,zDCwei_17Networks_LH_ContA_PFCd_1zDCbin_17Networks_LH_ContA_PFCd_1,0,0,0,0,0.049179098733603,0.049179098733603,0.098358197467206
17Networks_LH_DorsAttnB_PostC_4,zDCwei_17Networks_LH_DorsAttnB_PostC_4zDCbin_17Networks_LH_DorsAttnB_PostC_4,0,0,0,0,0.049179098733603,0.049179098733603,0.098358197467206
17Networks_LH_SomMotA_19,zDCwei_17Networks_LH_SomMotA_19,,,,,,0.049179098733603,0.049179098733603
17Networks_LH_SomMotA_15,zDCwei_17Networks_LH_SomMotA_15zDCbin_17Networks_LH_SomMotA_15,0,0,0,0,0.049179098733603,0.049179098733603,0.098358197467206
17Networks_RH_ContC_Cingp_2,zDCbin_17Networks_RH_ContC_Cingp_2,,,,,0.049179098733603,,0.049179098733603
17Networks_LH_SalVentAttnA_ParMed_1,zDCbin_17Networks_LH_SalVentAttnA_ParMed_1,,,,,0.049179098733603,,0.049179098733603
17Networks_LH_DorsAttnB_PostC_1,zDCbin_17Networks_LH_DorsAttnB_PostC_1,,,,,0.049179098733603,,0.049179098733603
