parc_name,gmd_sws_total_r,gmd_sws_total_p,gmd_sws_total_fdr,zALFF_sws_total_r,zALFF_sws_total_p,zALFF_sws_total_fdr,zfALFF_sws_total_r,zfALFF_sws_total_p,zfALFF_sws_total_fdr,zfALFF_sws_total_bonferroni,zDCbin_sws_total_r,zDCbin_sws_total_p,zDCbin_sws_total_fdr,zDCwei_sws_total_r,zDCwei_sws_total_p,zDCwei_sws_total_fdr,zReHo_sws_total_r,zReHo_sws_total_p,zReHo_sws_total_fdr,sws_total
17Networks_17,0.111556938763325,0.23112770806656,,-0.146420340062338,0.115192712597133,,-0.031536095215228,0.735712448124332,,,0.030451403969578,0.744483796654898,,0.037423919729871,0.688717767441979,,-0.090682718661121,0.330872790444334,,-0.089206891475913
17Networks_16,0.092148543188686,0.323083311759709,,-0.101934257295412,0.274130052042997,,0.047034555461096,0.614561462246972,,,0.055460307426068,0.552571325689546,,0.059656505427105,0.522871723588441,,0.024105894095549,0.796419971413015,,0.176471548303092
17Networks_15,0.059786852848187,0.521962285847671,,-0.074244882455781,0.42628920294105,,0.150577941821031,0.105121475840751,,,0.11959732981296,0.199012934818243,,0.121270999355447,0.192753883214913,,0.191232955424475,0.038885740892488,0.044540428762109,0.568221196806319
17Networks_14,-0.040321802857408,0.666003194258502,,-0.042279528000643,0.65082571871613,,0.016958371578309,0.855993637324184,,,0.042384124253342,0.650018761526966,,0.055874844427024,0.549601364930093,,0.04958177892292,0.595503687760262,,0.082197788323544
17Networks_13,0.085295332000793,0.360521358561534,,-0.011375570646863,0.903114086648848,,0.036707400782754,0.694378037174453,,,0.02406608112853,0.796748921607604,,0.020858676663267,0.823361989403748,,0.050106827035348,0.591608709249471,,0.205658746963829
17Networks_12,0.028900680692163,0.757080465719908,,-0.119810086145437,0.198209251779513,,-0.038893382444232,0.677163434619578,,,-0.025301792150928,0.786555884069915,,-0.040106879922156,0.667677802932012,,-0.067728456742742,0.468106478463424,,-0.262939916713332
17Networks_11,-0.042499445920051,0.649129527374939,,-0.052792045129873,0.571871957662215,,0.162538321067065,0.07996187631133,,,0.168059689927927,0.070105059685494,,0.175141437143503,0.058927948426996,,0.16834820702581,0.069618345569106,,0.578796164114381
17Networks_10,-0.052058966866955,0.577229449692109,,-0.05129356834119,0.582847916201873,,0.065852935163577,0.480544637138691,,,0.014971515851461,0.872714105195349,,0.020671684191877,0.824920056642567,,0.068563268836436,0.462627265384528,,0.066706868835206
17Networks_9,-0.014734612511719,0.874711675229719,,-0.065629872269587,0.482035687505031,,0.193461757866734,0.036624224903133,0.04447808578329,,0.184639056335364,0.046272023632852,0.048666690964411,0.191635990685374,0.038468330575576,0.044540428762109,0.160928993636039,0.083035183792197,,0.650301313742205
17Networks_8,0.015440577737177,0.868761347085412,,-0.06323243653313,0.498216807455384,,0.138968396484286,0.135098598568634,,,0.021105616488021,0.821305479494229,,0.031331072224933,0.737367800542303,,0.09593463463687,0.303514522997134,,0.239547861038157
17Networks_7,-0.034959626752171,0.708255089420955,,-0.050513971425057,0.588596353601239,,0.071358075891981,0.444543237050854,,,0.060684047694046,0.515724382956766,,0.062708703193379,0.501789226896151,,0.087934841027565,0.345795314023941,,0.197212069629743
17Networks_6,-0.028217785797152,0.762648168944931,,-0.0916432082828,0.32575525671558,,0.010923700862118,0.906945042920152,,,-0.013661226850189,0.883772162252836,,-0.013721294646512,0.883264720100212,,0.014134726919058,0.879773410181903,,-0.122185087795477
17Networks_5,0.02676845772197,0.774504582031169,,-0.09383882576011,0.314248771682844,,0.144147475168364,0.121006554974355,,,0.126371771470683,0.174560988619599,,0.118010574482099,0.205081094558582,,0.091460525137988,0.326724668656203,,0.412919978220994
17Networks_4,-0.085659002671661,0.358469655651875,,-0.111104268021866,0.233037979705785,,0.088149028959186,0.344617170354527,,,0.052653980834179,0.572879175913743,,0.042594601357747,0.64839616440427,,0.067847012839208,0.467326191948373,,0.054481353296793
17Networks_3,-0.052705058313579,0.572506454377647,,-0.079668446708182,0.393186976973045,,0.105954463433108,0.255550189980487,,,0.054985276686712,0.555984221518942,,0.054329102639068,0.560715185877953,,0.054524707389628,0.559302879905195,,0.137420045126755
17Networks_2,-0.067418497790407,0.470149858898666,,-0.203703560689445,0.027602809861947,0.041309255498928,0.182354887856762,0.049088229415507,0.04961052048189,,0.015427380980759,0.868872511637991,,0.033643338654473,0.718769985054549,,0.142015942891096,0.126662331011472,,0.102319491903238
17Networks_1,0.04005463143201,0.668085153206637,,-0.324525667731637,0.000357372446633,0.009778574333817,0.004603002092443,0.960716264714545,,,-0.131061998819691,0.158978650829029,,-0.136494060926253,0.142257891110048,,0.004508424463124,0.961522801181352,,-0.542915669490004
lPFtha_R,0.258298081750479,0.00492644762162,0.026109301883924,0.138332174335402,0.136912662145648,,0.046901721647379,0.615562530105493,,,0.126005120024804,0.175824934689912,,0.164954278639873,0.075520126710205,,0.095001443123286,0.308264053574494,,0.829492819521223
lPFtha_L,0.02931491016586,0.753709247306691,,0.048695741053664,0.602102645068136,,0.192589864705603,0.037495387653992,0.04447808578329,,0.19803682514509,0.032327088139274,0.043909520788104,0.218698847867,0.017838970695869,0.035961099656752,0.152951567798265,0.099688950110681,,0.840287756735482
cTtha_R,-0.153995684226578,0.097370387648998,,0.170644382743404,0.065841673079367,,0.079753784689988,0.392678722683345,,,0.078816739959105,0.398281075601831,,0.087657702566336,0.347323472018775,,-0.001827621002723,0.984397158533692,,0.261049304729532
cTtha_L,0.125275229117147,0.178361092285372,,0.160063472691787,0.084726700182544,,0.182096776868227,0.049415203472119,0.04961052048189,,0.135479243347111,0.145275952934451,,0.149928224963031,0.106648198280737,,0.089217168001464,0.338779648145238,,0.842060114988767
Otha_R,-0.045465265273255,0.62643282930957,,0.162865544812464,0.079348284670455,,0.143412848321242,0.122933354215917,,,0.123867105546109,0.183329633618426,,0.129573441214926,0.163807238744562,,0.06294338642707,0.500186784514993,,0.577197061048556
Otha_L,0.00715035907085,0.939010552750728,,0.082128014864019,0.378696407721762,,0.204450069512267,0.027026618658234,0.041309255498928,,0.111658046515011,0.230702537440031,,0.119881936016464,0.197938370108638,,0.175625216339619,0.058221011237289,,0.70089364231823
PPtha_R,0.051493445567212,0.581378275044051,,0.177635323503595,0.055357765248928,,0.15762900304214,0.089632284179122,,,0.08913408857923,0.339231429033507,,0.105558928796831,0.257338910567152,,0.100291894998234,0.281976158382341,,0.681742684487242
PPtha_L,-0.105489818803704,0.257652323407794,,0.115069151268121,0.216678722507748,,0.168838229000754,0.068797979302977,,,0.110397036594933,0.236044570266042,,0.117832573878752,0.205770006570931,,0.103359885129722,0.267439819210037,,0.510007057068578
rTtha_R,-0.054558404910703,0.559059749131505,,0.075864168540966,0.416241872422291,,0.22008617516963,0.017109344762277,0.035628445120417,,0.167694474786677,0.070725107622283,,0.175323948631556,0.058660426234244,,0.090246145851171,0.333215744964851,,0.674656508069297
rTtha_L,-0.113150318866759,0.22449107296352,,0.077197905030442,0.408070891821776,,0.201739179210043,0.029169191783246,0.042336998359683,,0.073751728898072,0.429376622724409,,0.074523694604934,0.424549351314101,,0.101390650079532,0.276710575581557,,0.415452838956264
Stha_R,-0.122805347243133,0.187142414417945,,0.153276830509972,0.098962058419168,,0.233827979315631,0.01116923780351,0.032136943545218,,0.1103300887055,0.236330576454488,,0.136438695080741,0.14242131365626,,0.153827894785103,0.09774008467918,,0.664896141153814
Stha_L,-0.15161160881809,0.102727882166453,,0.068995961636136,0.459801277418805,,0.213936432955391,0.020552024044749,0.038103752608513,,0.135140086539884,0.146295318050529,,0.144988452654177,0.118829535942428,,0.145646210836741,0.117148029097522,,0.557095535804239
mPMtha_R,0.020104146125562,0.829653068950773,,0.095543171004242,0.305501023809335,,0.128595299615339,0.167038994171638,,,0.144985583410322,0.118836911624237,,0.16237968068034,0.080260716455525,,0.160014673491533,0.084822883275491,,0.711622554327338
mPMtha_L,0.01877156617691,0.840789905744792,,0.123498271928408,0.18464762531113,,0.228716002983221,0.013125333624664,0.033089177551158,,0.217578670196014,0.018447579531815,0.036364928127434,0.224121393680991,0.015132104959935,0.03444788297338,0.137046981004499,0.140633632552245,,0.949732885970043
mPFtha_R,0.024587966940009,0.79243974721046,,0.088147933105602,0.344623191672595,,0.106810452425393,0.25170841351997,,,0.118538987212405,0.203045741211637,,0.107008264227086,0.250826296154722,,0.119914030949866,0.19781745518603,,0.565007634860361
mPFtha_L,-0.050010237179924,0.592324376930035,,0.068000301576273,0.466318365557933,,0.182613800359719,0.048762042303314,0.04961052048189,,0.141336525634791,0.12850713075736,,0.128477184743422,0.167432420131056,,0.131240888338275,0.158405599955841,,0.601658463472556
dlPu_R,0.075652608215066,0.41754667166292,,-0.115126300221231,0.216449044827549,,-0.153351796078657,0.098795120082464,,,0.132840003218577,0.153351421229694,,0.133465699403815,0.151407127469401,,-0.021157682283348,0.820872030768608,,0.052322532254222
dlPu_L,-0.200972278133,0.029800878291993,0.04276510218173,0.045562857225488,0.625691731215255,,0.054123923943083,0.562198446622751,,,0.164210658242634,0.076865584736338,,0.203922829538993,0.027432493077094,0.041309255498928,0.082782558227382,0.374895519800382,,0.34963054904458
