parcel_name,sws_rs,sws_gb,sws_ms,sws_fa,sws_rw,sws_total
gmd_17Networks_17,0.071966429880497,0.582125832565323,0.248658400161743,0.455413139184593,0.046038684965754,0.23112770806656
gmd_17Networks_16,0.201670540467344,0.703188083156657,0.77646863613111,0.457278056050889,0.285506012016285,0.323083311759709
gmd_17Networks_15,0.665408989041717,0.77310886034846,0.81011930570117,0.239217769918189,0.956342824214252,0.521962285847671
gmd_17Networks_14,0.635988701098531,0.410975041796718,0.438266265594905,0.596597230980581,0.562482798446364,0.666003194258502
gmd_17Networks_13,0.212942228013109,0.968948050123194,0.120674986342922,0.291418084123181,0.113960083888086,0.360521358561534
gmd_17Networks_12,0.470422629830696,0.400736163592286,0.221760037901032,0.095012211159263,0.166467777850593,0.757080465719908
gmd_17Networks_11,0.346931153856834,0.943882350006221,0.249713612858302,0.118473013075739,0.123492170587775,0.649129527374939
gmd_17Networks_10,0.385913615634267,0.967657881085982,0.14513415956039,0.160893237588261,0.699197731388603,0.577229449692109
gmd_17Networks_9,0.501082730942585,0.85200335344353,0.432865799679573,0.0899528803822,0.546567034979451,0.874711675229719
gmd_17Networks_8,0.345490886878338,0.537022752650077,0.638980624360151,0.141601433647189,0.387932091384859,0.868761347085412
gmd_17Networks_7,0.834703285332336,0.396266652749008,0.7245062091293,0.756900158642378,0.426789547974677,0.708255089420955
gmd_17Networks_6,0.89205799020645,0.765581976454073,0.507838189752685,0.85112034333725,0.552426914246859,0.762648168944931
gmd_17Networks_5,0.303396080629658,0.549801651651163,0.9369144021223,0.378145037918866,0.158507001987477,0.774504582031169
gmd_17Networks_4,0.236407985078271,0.350323007517591,0.501529294573379,0.972544496429067,0.403057652263848,0.358469655651875
gmd_17Networks_3,0.557608756775747,0.541899059280208,0.191077020615967,0.303542316799484,0.53099188712188,0.572506454377647
gmd_17Networks_2,0.360650860428134,0.262484369034479,0.589456366087647,0.993195928894873,0.476131187288622,0.470149858898666
gmd_17Networks_1,0.323863211341494,0.720432420257348,0.704978395482618,0.282791171337713,0.024802999169554,0.668085153206637
zReHo_17Networks_17,0.300646609196004,0.419654512742982,0.410272225445756,0.764733358494121,0.864975392800259,0.330872790444334
zReHo_17Networks_16,0.905764425022734,0.979621160837102,0.748996888623331,0.32356583279135,0.140881978701622,0.796419971413015
zReHo_17Networks_15,0.00495201750358,0.478609911625455,0.819996345598277,0.088917845619564,0.023071213767191,0.038885740892488
zReHo_17Networks_14,0.569029313323794,0.920432884572349,0.888912322178684,0.382855307368368,0.206115090961462,0.595503687760262
zReHo_17Networks_13,0.559958997927733,0.924851021322467,0.936707642329101,0.363385263224323,0.13047451518005,0.591608709249471
zReHo_17Networks_12,0.878422869782859,0.598790348521962,0.135225206663225,0.766957299252706,0.78659939440217,0.468106478463424
zReHo_17Networks_11,0.004570528375644,0.820173478518268,0.816531045992292,0.098770878579714,0.047506118275918,0.069618345569106
zReHo_17Networks_10,0.154750411791993,0.951864268780956,0.404421815142126,0.257388098160598,0.242646729210115,0.462627265384528
zReHo_17Networks_9,0.009124067877014,0.583019670019,0.806429897944489,0.317955528185093,0.016364031989546,0.083035183792197
zReHo_17Networks_8,0.05893417563154,0.737238923611584,0.522597066623791,0.22554288899481,0.273922125055663,0.303514522997134
zReHo_17Networks_7,0.028004948492697,0.938189877665179,0.148387985116585,0.29246965434063,0.574227031131859,0.345795314023941
zReHo_17Networks_6,0.304763398105574,0.83260363589701,0.206859475160908,0.880301731050859,0.814772847534032,0.879773410181903
zReHo_17Networks_5,0.03503518423106,0.861482817675294,0.317264046837823,0.417212922848554,0.209898765432831,0.326724668656203
zReHo_17Networks_4,0.071527028590878,0.87516674378459,0.254853802061477,0.715396155626075,0.409385438196927,0.467326191948373
zReHo_17Networks_3,0.125141973916347,0.912362448272206,0.345297182943953,0.747348290167826,0.331680701293969,0.559302879905195
zReHo_17Networks_2,0.007740460254774,0.803773396934177,0.390069439103211,0.149918332049232,0.436142865048978,0.126662331011472
zReHo_17Networks_1,0.350280581012361,0.924932804914261,0.084989776155591,0.741964696105642,0.483541079561648,0.961522801181352
zfALFF_17Networks_17,0.888730897712716,0.949607912953861,0.231898953132404,0.680832984933722,0.906372290973821,0.735712448124332
zfALFF_17Networks_16,0.282391480597959,0.695803154282871,0.583983808862318,0.921643207178751,0.286018143008583,0.614561462246972
zfALFF_17Networks_15,0.075517268614959,0.250155487467236,0.613430280843101,0.220067296894659,0.0268604308813,0.105121475840751
zfALFF_17Networks_14,0.479685250242734,0.941451655756233,0.378108230811104,0.829508063950594,0.283621912591029,0.855993637324184
zfALFF_17Networks_13,0.424919555034699,0.542369361716106,0.447545804446535,0.944438795846687,0.521179883102454,0.694378037174453
zfALFF_17Networks_12,0.778825869527661,0.907320314165723,0.156732247167636,0.564794605505621,0.805581857181078,0.677163434619578
zfALFF_17Networks_11,0.01514273236631,0.868054836463195,0.762276880181185,0.139216144388802,0.129279249756079,0.07996187631133
zfALFF_17Networks_10,0.223827698560341,0.497264142936081,0.467646319038184,0.588604807659373,0.30937435434394,0.480544637138691
zfALFF_17Networks_9,0.009655255440373,0.850524781566106,0.204429104709131,0.143289637238374,0.016385912478292,0.036624224903133
zfALFF_17Networks_8,0.044365638578078,0.480737422631603,0.859839361919622,0.355285789670463,0.212741205123674,0.135098598568634
zfALFF_17Networks_7,0.091059820370417,0.631522135388998,0.670255296385925,0.600332600369175,0.467531248589138,0.444543237050854
zfALFF_17Networks_6,0.445778623212819,0.754711823955395,0.335851829925543,0.88912888840731,0.412963690865672,0.906945042920152
zfALFF_17Networks_5,0.027321417589647,0.668219655539206,0.662522927728131,0.335309776832302,0.046052144007469,0.121006554974355
zfALFF_17Networks_4,0.060408983848961,0.939821936337174,0.598883191262744,0.49971204116187,0.210394488424981,0.344617170354527
zfALFF_17Networks_3,0.0756348847831,0.936147735352547,0.962832219761425,0.356572431012701,0.175432004352714,0.255550189980487
zfALFF_17Networks_2,0.019792809788756,0.373587417875948,0.603628854966804,0.084418231101693,0.396096006217375,0.049088229415507
zfALFF_17Networks_1,0.610303893356336,0.719208722814734,0.377292528066598,0.920420064556873,0.470349903360192,0.960716264714545
zDCwei_17Networks_17,0.563895704960429,0.76499752017749,0.921888485528546,0.922059115214674,0.302529946923052,0.688717767441979
zDCwei_17Networks_16,0.346826156052477,0.6808160513172,0.837750413915369,0.797297330128937,0.623623932596933,0.522871723588441
zDCwei_17Networks_15,0.05593216764889,0.509472669808924,0.735937002510137,0.879514307097159,0.241696757662475,0.192753883214913
zDCwei_17Networks_14,0.213208741425496,0.889848250054702,0.954643346848705,0.797545401159239,0.641817319542499,0.549601364930093
zDCwei_17Networks_13,0.617467008854376,0.753310536504801,0.892804682148086,0.694848356284993,0.54373377758887,0.823361989403748
zDCwei_17Networks_12,0.844038687984406,0.732797696748544,0.303937299970713,0.382285229329288,0.929114040350543,0.667677802932012
zDCwei_17Networks_11,0.0086413486662,0.591967405579546,0.546841759520082,0.405454877820554,0.086377229707208,0.058927948426996
zDCwei_17Networks_10,0.330641508300901,0.960812021056936,0.411015537766973,0.738547087280567,0.631310065278981,0.824920056642567
zDCwei_17Networks_9,0.010544841575779,0.194229809812364,0.247084475123245,0.565738338898424,0.007914404669495,0.038468330575576
zDCwei_17Networks_8,0.349653254859287,0.779418798148947,0.664495851472221,0.643517569512501,0.289640371035464,0.737367800542303
zDCwei_17Networks_7,0.184442483184236,0.709589362891393,0.597821820690461,0.889636838838382,0.384981636133316,0.501789226896151
zDCwei_17Networks_6,0.439186393763871,0.954233223161124,0.236286355145621,0.493179243005795,0.911345693946259,0.883264720100212
zDCwei_17Networks_5,0.048971310337219,0.407763394630938,0.853197102516204,0.677740339805563,0.172015331911679,0.205081094558582
zDCwei_17Networks_4,0.353143249442756,0.919785234877151,0.836367963969628,0.801205073602963,0.426218027753836,0.64839616440427
zDCwei_17Networks_3,0.381796383940459,0.507495519097378,0.918035885768382,0.958927269994157,0.216760912399428,0.560715185877953
zDCwei_17Networks_2,0.209194660812666,0.743030171007309,0.205770809004315,0.969148270104497,0.711719851514967,0.718769985054549
zDCwei_17Networks_1,0.455199692544595,0.181274228338984,0.024947319542577,0.174470815701192,0.060684014629449,0.142257891110048
zDCbin_17Networks_17,0.588195897480808,0.819455317794085,0.822331691017017,0.908416307254366,0.300091682569387,0.744483796654898
zDCbin_17Networks_16,0.397303522983047,0.639458452729229,0.861629413563458,0.781908648994553,0.541400615314341,0.552571325689546
zDCbin_17Networks_15,0.075194972040485,0.427861048176899,0.716246049191952,0.831295481321221,0.165558848479389,0.199012934818243
zDCbin_17Networks_14,0.291427491232261,0.879664286143785,0.868763529146542,0.744730583160367,0.551496190516771,0.650018761526966
