region,sws_total
zfALFF_17Networks_LH_ContC_pCun_3,-0.212642431058111
zfALFF_17Networks_LH_ContB_PFCmp_1,-0.208846194945434
zfALFF_17Networks_LH_ContB_PFClv_3,-0.290059816331766
zfALFF_17Networks_LH_ContB_PFClv_2,-0.290984659609097
zfALFF_17Networks_LH_ContA_PFCl_3,-0.245868412645229
zfALFF_17Networks_LH_ContA_PFClv_2,-0.205384293094472
zfALFF_17Networks_LH_ContA_IPS_3,-0.196636108208051
zfALFF_17Networks_LH_ContA_IPS_1,-0.202844142131951
zfALFF_17Networks_LH_LimbicA_TempPole_7,0.248966346456072
zfALFF_17Networks_LH_LimbicA_TempPole_6,0.384033347559308
zfALFF_17Networks_LH_LimbicA_TempPole_5,0.191547332591921
zfALFF_17Networks_LH_LimbicA_TempPole_2,0.252677151842249
zfALFF_17Networks_LH_LimbicA_TempPole_1,0.219370662871745
zfALFF_17Networks_LH_SalVentAttnB_PFCmp_1,-0.206810904187751
zfALFF_17Networks_LH_SalVentAttnB_PFCl_2,-0.23368488737191
zfALFF_17Networks_LH_SalVentAttnB_PFCl_1,-0.205306030383129
zfALFF_17Networks_LH_SalVentAttnA_FrMed_2,-0.268548105084977
zfALFF_17Networks_LH_SalVentAttnA_Ins_1,0.370186035815228
zfALFF_17Networks_LH_DorsAttnB_PostC_5,-0.287951257209496
zfALFF_17Networks_LH_DorsAttnB_PostC_2,-0.235753130971278
zfALFF_17Networks_LH_DorsAttnA_SPL_3,-0.271742947524259
zfALFF_17Networks_LH_SomMotB_Cent_3,-0.287133981870289
zfALFF_17Networks_LH_SomMotB_Aud_4,0.186123586694716
zfALFF_17Networks_LH_SomMotB_Aud_3,0.193632800731651
zfALFF_17Networks_LH_SomMotB_S2_2,0.246855474570478
zfALFF_17Networks_LH_SomMotB_Aud_1,0.281534127172598
zfALFF_17Networks_LH_SomMotA_1,0.206542098227079
zfALFF_17Networks_LH_VisCent_Striate_1,0.193323363336606
gmd_lPFtha_R,0.258298081750479
