bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-0015_ses-wave1_task-rest_bold	0.006005840000000001	0.032845247599999995	0	41.35293978927708	1.15442195313253	1.0392407494377511	0.3913798556691462	10046.05859375	0.27341103799723326	105	42.0	2.511857686885721	2.4021797108024217	2.758985349854742	2.374408	0.0259224	-0.01348072662949562	0.015337159857153893	250	104	104	60	5.927981831313862	1.5	2.451923131942749	2.451923131942749	2.5	76.1850300493269	3.842905315157792	10.353922843933105	4.640000343322754	485214.0	1.4160000085830688	34.20800018310547	20.01479721069336	5.684771464465918	58.764446508164866	465.4533996582031	473.8360290527344	87241.0	334.9800109863281	568.4320068359375	79.931640625	32.91811908851378
sub-0015_ses-wave3_task-rest_bold	0.00089868	0.01776134	0	37.35579754947791	1.292336212289156	0.9933273274698793	0.39574491776972925	13287.40234375	0.11085882623187697	12	4.8	2.468024380637406	2.373912103593592	2.6614170383186257	2.368744	0.00881178	-0.009471653029322624	0.007557551842182875	250	104	104	60	5.854785229563542	1.5	2.451923131942749	2.451923131942749	2.5	65.65037280208698	31.887813311633963	126.95106506347656	50.02800369262695	481109.0	21.860000610351562	471.64161376953086	276.1551208496094	4.679664823682032	816.748043144615	5831.7099609375	5919.1162109375	90536.0	4219.3922119140625	7178.09814453125	1010.982177734375	47.09420539229177
sub-0085_ses-wave2_task-rest_bold	0.00095748	0.020010953999999997	0	36.67442282718875	1.1923346730120479	1.0181242575502008	0.37091712117605746	16799.005859375	0.2174839203084131	146	58.4	2.4670523799388526	2.309791006993215	2.818930132823343	2.272436	0.0101488	-0.019797921180725098	0.006124244071543217	250	104	104	60	5.644257737135899	1.5	2.451923131942749	2.451923131942749	2.5	87.92841956958056	2.4492591449273466	9.680253028869629	3.31600022315979	497465.0	1.1640000343322754	33.75200271606445	24.435827255249023	5.626374670065143	53.22839679358138	426.3262634277344	436.39202880859375	77206.0	286.3130111694336	521.1150207519531	77.31560516357422	47.31591670680791
sub-0085_ses-wave3_task-rest_bold	0.00200232	0.03250576	0	34.891303985743	1.1299248261445791	0.9496878582329321	0.3747679365696363	18025.064453125	0.24873433261642977	145	58.0	2.521834366488136	2.3446004179768187	2.8347666814875883	2.386136	0.0158925	-0.01913367211818695	0.003836010815575719	250	104	104	60	5.841275770984386	1.5	2.451923131942749	2.451923131942749	2.5	78.24546768515461	30.523816329655922	146.63916015625	46.64800262451172	495643.0	20.61600112915039	547.0236450195312	379.9034729003906	5.457481773404579	799.6619212885755	6260.7421875	6397.501953125	78492.0	4345.246411132813	7621.60693359375	1095.2164306640625	36.709420871920884
sub-0086_ses-wave1_task-rest_bold	0.01882752	0.0431328824	0	47.08158683755023	1.1719643216465865	1.113700953052208	0.3760652268664728	15374.75	0.47208512382637974	118	47.2	2.5779706536432108	2.320553987143857	2.9158499737857753	2.497508	0.0854924	-0.014526663348078728	0.01671740598976612	250	104	104	60	5.8070291296195675	1.5	2.451923131942749	2.451923131942749	2.5	65.28821119128305	3.3506809996834637	10.91525936126709	4.440000057220459	490940.0	1.4280000925064087	35.84400177001953	24.920867919921875	5.548184335408719	66.03509285824512	544.86279296875	554.2960205078125	82308.0	381.4320068359375	671.1660400390623	95.45201873779297	25.46235527191311
sub-0086_ses-wave3_task-rest_bold	0.00550972	0.028334075999999996	0	33.9924897956225	1.1917973077510027	0.9739330697188752	0.37886200521640284	16647.37109375	0.18355776534668847	56	22.4	2.518631072850406	2.278925439058369	2.836279779492851	2.440688	0.015945	-0.015724357217550278	0.013500140979886055	250	104	104	60	6.143342212818449	1.5	2.451923131942749	2.451923131942749	2.5	75.91970721071978	29.907053263812443	132.78565979003906	50.788002014160156	489424.0	25.256000518798828	450.03701019287064	335.48577880859375	6.157916963788114	751.4744534796853	6552.86767578125	6651.6806640625	83404.0	4726.62744140625	7946.63955078125	1082.73974609375	41.14300801185891
sub-0134_ses-wave3_task-rest_bold	0.00617284	0.0270821476	0	34.33301189558232	1.246870331325301	1.0140237028915668	0.40756613818823195	15233.1650390625	0.20682691846433637	70	28.0	2.37739269562895	2.2261750088695074	2.6398910780173415	2.266112	0.0361678	-0.017694516107439995	0.0027885755989700556	250	104	104	60	5.973954950469688	1.5	2.451923131942749	2.451923131942749	2.5	48.871122878692034	30.885570501798995	147.4128875732422	48.19200134277344	474944.0	21.54800033569336	612.3278503417944	380.9243469238281	5.841348492262242	723.4975758740371	5993.17822265625	6079.87646484375	95445.0	4344.366601562499	7366.400390625	1017.7252197265625	42.24939855001867
sub-0152_ses-wave1_task-rest_run-01_bold	0.035625000000000004	0.0412682375	0	47.042839304666664	1.1246439893333335	1.1554242293333332	0.3774868838423734	9996.9697265625	0.46002472107039083	8	50.0	2.463856641892981	2.297731085695205	2.761974839983738	2.331864	0.00389773	-0.01568351499736309	0.015740152448415756	16	104	104	60	6.064040436872201	1.5	2.451923131942749	2.451923131942749	2.5	76.64910592517413	3.243192352981004	8.999584197998047	4.1875	494403.0	1.3125	27.5	17.223054885864258	5.343149829389954	52.261728202322466	415.9826965332031	424.25	79805.0	299.01250000000005	506.5	69.96116638183594	29.971752570942044
sub-0152_ses-wave1_task-rest_run-02_bold	0.06921666666666666	0.12176795000000001	0	123.46965942599998	1.92059748	4.070540524	0.36781637816242063	18998.02734375	2.152502924623594	5	83.33333333333333	2.5870992019822943	2.3829050445682665	2.944480561378616	2.4339120000000003	0.0747859	-0.015422613359987736	0.005664569325745106	6	104	104	60	6.093397730067519	1.5	2.451923131942749	2.451923131942749	2.5	82.82714089766763	2.223903327758403	7.56559944152832	3.0	494200.0	1.0	26.0	17.449371337890625	5.128509911490243	51.39686182638452	416.7492370605469	424.5	80057.0	298.66668701171875	507.3333435058594	69.66513061523438	15.0345455147326
sub-0152_ses-wave1_task-rest_run-03_bold	0.00300176	0.021366093999999995	0	31.950144809959863	1.1765489977108434	1.0369020718473902	0.3715020431207455	15949.7236328125	0.13729436387672614	35	14.0	2.4777158575272735	2.297319164135821	2.7693364084459997	2.366492	0.00901251	-0.017111118882894516	0.00941952783614397	250	104	104	60	6.093150838620678	1.5	2.451923131942749	2.451923131942749	2.5	88.7393379964713	2.431467617140392	8.53639030456543	3.364000082015991	494387.0	1.2440000772476196	30.852001190185547	19.117813110351562	5.293133797844222	52.99411596205606	425.8494567871094	433.73602294921875	79753.0	307.14081420898435	518.8112426757812	71.18374633789062	46.38856498664245
